series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),0,0,,5
three_leg_adjusted,avg_v,V (vocabulary),0,0,,2
three_leg_adjusted,avg_b,BK (background knowledge),0,0,,0
three_leg_adjusted,avg_m,M (meaning),0,0,,3
vocab_adjusted,avg_v,V (vocabulary),0,0,,2
bk_adjusted,avg_b,BK (background knowledge),0,0,,0
meaning_adjusted,avg_m,M (meaning),0,0,,3
genre_adjusted,avg_v,V (vocabulary),0,0,,2
genre_adjusted,avg_b,BK (background knowledge),0,0,,0
genre_adjusted,avg_m,M (meaning),0,0,,3
genre_adjusted,share_literary,Literary share,0,0,,1
genre_adjusted,share_fiction,Fiction share,0,0,,1
textstat_adjusted,avg_textstat,Textstat readability (z),0,0,,-1.847538162520484
lexile_adjusted,avg_lexile,Published Lexile (z),0,0,,-1.568061
atos_adjusted,avg_atos,Published ATOS (z),0,0,,-1.545767
lc_sentstr_adjusted,avg_lc_sentstr,LC Sentence Structure band (z),0,0,,.4170288281141502
lc_vocab_adjusted,avg_lc_vocab,LC Vocabulary band (z),0,0,,-.4629100498862759
