series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),-.0180443626172217,.0120837862954982,.1469611991916542,8.96345892606602
three_leg_adjusted,avg_v,V (vocabulary),.0370507392361551,.0651320980723168,.5741562023402065,3.422756562211697
three_leg_adjusted,avg_b,BK (background knowledge),-.0963417198454465,.0789174835809931,.2327196537420894,2.017416786265223
three_leg_adjusted,avg_m,M (meaning),.0220805091905402,.0757927787531097,.7730274041109407,3.523285578964348
vocab_adjusted,avg_v,V (vocabulary),-.038027342589935,.0278302858879597,.1830855437057514,3.422756562211697
bk_adjusted,avg_b,BK (background knowledge),-.0495879289983066,.0304501909913492,.1150346492581852,2.017416786265223
meaning_adjusted,avg_m,M (meaning),-.0549421073386678,.0486707076015366,.2688900789299128,3.523285578964348
genre_adjusted,avg_v,V (vocabulary),-.0825539558127167,.0779307513622339,.2988372509130521,3.422756562211697
genre_adjusted,avg_b,BK (background knowledge),-.1599818444054345,.0836116080545035,.0663562112892226,2.017416786265223
genre_adjusted,avg_m,M (meaning),.122312256937563,.1146346352113562,.2954312349636091,3.523285578964348
genre_adjusted,share_literary,Literary share,-.0837151773212613,.1304550351839106,.5264680749789066,.741771700238823
genre_adjusted,share_fiction,Fiction share,-.3322757577390337,.2279024048892117,.1563824419532257,.1940645824249526
textstat_adjusted,avg_textstat,Textstat readability (z),-.0525102067238805,.0337605710721189,.1315027845490615,-1.055659016156439
czi_adjusted,avg_czi,CZI complexity (z),-.0517907217835104,.0341066606928113,.1405139317182332,-.9065014058001837
lexile_adjusted,avg_lexile,Published Lexile (z),-.0123462626462468,.0526567938325019,.8165323697765572,-.7241358802398989
atos_adjusted,avg_atos,Published ATOS (z),.0023008206630075,.0961593353881535,.9811264069338419,-1.034135388844972
clear_adjusted,avg_clear,CLEAR-calibrated readability (z),-.0645265522182537,.0427786858596841,.1430706257585683,-1.033285353028925
