series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),-.0413404720235959,.0216351919873352,.0704720913215972,8.09731409906415
three_leg_adjusted,avg_v,V (vocabulary),.0092883671217223,.1282332646335813,.9429765173401342,3.071750146076995
three_leg_adjusted,avg_b,BK (background knowledge),-.0679480725611152,.0445458027134752,.142829771079975,1.569178712031955
three_leg_adjusted,avg_m,M (meaning),-.0141709050392489,.1380089535110764,.9192386883309408,3.45638522941075
vocab_adjusted,avg_v,V (vocabulary),-.0832523999887574,.0515672160652085,.1220980161051716,3.071750146076995
bk_adjusted,avg_b,BK (background knowledge),-.0668170976395952,.033724919425323,.0614812809349602,1.569178712031955
meaning_adjusted,avg_m,M (meaning),-.048711532977915,.1060081099126705,.6508252732780286,3.45638522941075
genre_adjusted,avg_v,V (vocabulary),-.0625981951242779,.0947883040287155,.5165319541878772,3.071750146076995
genre_adjusted,avg_b,BK (background knowledge),-.0677894985370918,.0444691429751312,.1430622712625985,1.569178712031955
genre_adjusted,avg_m,M (meaning),.062476576248481,.1042991805200926,.5558891596649997,3.45638522941075
genre_adjusted,share_literary,Literary share,-.2966051404749112,.0368045610297539,1.04052821817e-07,.5955056179775281
genre_adjusted,share_fiction,Fiction share,0,0,,.2247191011235955
textstat_adjusted,avg_textstat,Textstat readability (z),.08487655795207,.033711364533926,.020443213070054,-.8838635650780279
czi_adjusted,avg_czi,Claude Lexile estimate (z),.0892545430052751,.0403872695904063,.0389291435570019,-.7714327055031951
lexile_adjusted,avg_lexile,Published Lexile (z),.0492902187734824,.0384013141816822,.2139706064902604,-.2822609425287356
atos_adjusted,avg_atos,Published ATOS (z),.0579249979760666,.0376461747737804,.1395571904648874,-.2707124819277107
lc_sentstr_adjusted,avg_lc_sentstr,LC Sentence Structure band (z),.1442630843958852,.0629063322344778,.0327995174379133,.1178110334200178
lc_vocab_adjusted,avg_lc_vocab,LC Vocabulary band (z),.1943863269726162,.0832667836407689,.0301091249742076,.3256958435994013
