series_id,param,param_label,coef,se,pvalue,xbar
pooled_adjusted,avg_d,Pooled difficulty D (V+BK+M),.0111569107964628,.0233360564036122,.6377650792634313,5.557504671441919
three_leg_adjusted,avg_v,V (vocabulary),2.374762665510613,1.476543144026216,.123436216728688,2.183519152911866
three_leg_adjusted,avg_b,BK (background knowledge),-3.174603051670212,2.03738442004492,.1348754427166659,.3586009031454376
three_leg_adjusted,avg_m,M (meaning),-4.200478607203851,2.604615449633456,.1224770055221505,3.015384615384615
vocab_adjusted,avg_v,V (vocabulary),.0188977204288275,.0383924354985152,.6279198951823958,2.183519152911866
bk_adjusted,avg_b,BK (background knowledge),.0332966485742016,.1012216201819828,.7456146560861127,.3586009031454376
meaning_adjusted,avg_m,M (meaning),.0666666428248088,.1235161374231895,.5953351719672124,3.015384615384615
genre_adjusted,avg_v,V (vocabulary),2.374762665510613,1.476543144026216,.123436216728688,2.183519152911866
genre_adjusted,avg_b,BK (background knowledge),-3.174603051670212,2.03738442004492,.1348754427166659,.3586009031454376
genre_adjusted,avg_m,M (meaning),-4.200478607203851,2.604615449633456,.1224770055221505,3.015384615384615
genre_adjusted,share_literary,Literary share,0,0,,.7697788852911729
genre_adjusted,share_fiction,Fiction share,0,0,,.7697788852911729
textstat_adjusted,avg_textstat,Textstat readability (z),.0235607522235332,.0472338853212283,.6233548584905306,-1.367002822348595
lexile_adjusted,avg_lexile,Published Lexile (z),0,0,,-1.06837634375
atos_adjusted,avg_atos,Published ATOS (z),0,0,,-1.06004596875
lc_sentstr_adjusted,avg_lc_sentstr,LC Sentence Structure band (z),0,0,,.4170288281141502
lc_vocab_adjusted,avg_lc_vocab,LC Vocabulary band (z),.0478029342991336,.0781607768463434,.5476939534268231,-.4594782299742414
