period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,19,genre_adjusted,Genre-adjusted,controls,.6879291534423828,.0233381165296037,1,V+B+M+literary+fiction
week,2,Week 2,19,genre_adjusted,Genre-adjusted,controls,.5941094756126404,.0261488435704525,1,V+B+M+literary+fiction
week,3,Week 3,19,genre_adjusted,Genre-adjusted,controls,.6769787669181824,.017449298514609,1,V+B+M+literary+fiction
week,4,Week 4,12,genre_adjusted,Genre-adjusted,controls,.6593676209449768,.0373745562219134,1,V+B+M+literary+fiction
week,5,Week 5,12,genre_adjusted,Genre-adjusted,controls,.5593218207359314,.0463961445597987,1,V+B+M+literary+fiction
week,6,Week 6,12,genre_adjusted,Genre-adjusted,controls,.5870996117591858,.0537506713745362,1,V+B+M+literary+fiction
week,10,Week 10,11,genre_adjusted,Genre-adjusted,controls,1.037026882171631,.0554210819863961,.0909090936183929,V+B+M+literary+fiction
week,13,Week 13,11,genre_adjusted,Genre-adjusted,controls,1.663350224494934,.0356287556069706,0,V+B+M+literary+fiction
week,14,Week 14,2,genre_adjusted,Genre-adjusted,controls,.794485330581665,.080357133955666,1,V+B+M+literary+fiction
week,15,Week 15,15,genre_adjusted,Genre-adjusted,controls,.7669320106506348,.0265876487324955,.95333331823349,V+B+M+literary+fiction
week,16,Week 16,13,genre_adjusted,Genre-adjusted,controls,.6962432861328125,.0381730456384886,1,V+B+M+literary+fiction
week,18,Week 18,11,genre_adjusted,Genre-adjusted,controls,.1583967655897141,.0410603266445523,0,V+B+M+literary+fiction
week,19,Week 19,2,genre_adjusted,Genre-adjusted,controls,.4998424649238586,.1000000256840244,1,V+B+M+literary+fiction
week,20,Week 20,12,genre_adjusted,Genre-adjusted,controls,.7528186440467834,.034996681981969,1,V+B+M+literary+fiction
week,21,Week 21,8,genre_adjusted,Genre-adjusted,controls,.8910378813743591,.0300365205737435,1,V+B+M+literary+fiction
week,22,Week 22,8,genre_adjusted,Genre-adjusted,controls,.6715983152389526,.0386521240286018,1,V+B+M+literary+fiction
week,23,Week 23,14,genre_adjusted,Genre-adjusted,controls,.8535521030426025,.0423877969253597,1,V+B+M+literary+fiction
week,1,Week 1,19,atos_adjusted,ATOS (published),external,.7304887094917519,.0238290834346659,-1.533900689473685,atos_published_z
week,2,Week 2,19,atos_adjusted,ATOS (published),external,.6367218447476614,.0263364257659061,-1.506212631578948,atos_published_z
week,3,Week 3,19,atos_adjusted,ATOS (published),external,.7195911297790299,.0171169051606387,-1.506212631578948,atos_published_z
week,4,Week 4,12,atos_adjusted,ATOS (published),external,.7038151316845548,.0373745552176692,-1.545767,atos_published_z
week,5,Week 5,12,atos_adjusted,ATOS (published),external,.6037693414096169,.0463961456759038,-1.545767,atos_published_z
week,6,Week 6,12,atos_adjusted,ATOS (published),external,.6315471249822907,.0537506697525747,-1.545767,atos_published_z
week,10,Week 10,10,atos_adjusted,ATOS (published),external,.8600234588815605,.0604518120254611,.8454750000000002,atos_published_z
week,13,Week 13,11,atos_adjusted,ATOS (published),external,.833010457493791,.0385275296469068,.8454750000000003,atos_published_z
week,14,Week 14,2,atos_adjusted,ATOS (published),external,.8040648528114389,.0803571343421936,-.7942340000000001,atos_published_z
week,15,Week 15,15,atos_adjusted,ATOS (published),external,.7754722857640345,.0264514816765838,-.7177142466666666,atos_published_z
week,16,Week 16,13,atos_adjusted,ATOS (published),external,.7058228060701001,.0381730423261832,-.7942340000000001,atos_published_z
week,19,Week 19,2,atos_adjusted,ATOS (published),external,.5094220020547937,.1000000089406967,-.794234,atos_published_z
week,20,Week 20,12,atos_adjusted,ATOS (published),external,.7623981811777186,.0349966807439161,-.794234,atos_published_z
week,21,Week 21,8,atos_adjusted,ATOS (published),external,.9006174259558747,.0300365214957207,-.7942340000000002,atos_published_z
week,22,Week 22,7,atos_adjusted,ATOS (published),external,.6350172289386818,.0471921410436763,-.7942340000000002,atos_published_z
week,1,Week 1,19,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7580701677422774,.0240120780195193,.41702882811415,lc_sentstr_complexity_z
week,2,Week 2,19,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6629181472878707,.0266790223186267,.41702882811415,lc_sentstr_complexity_z
week,3,Week 3,19,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7457874323192396,.016974881936119,.4170288281141499,lc_sentstr_complexity_z
week,4,Week 4,12,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.731990228096644,.0373745552176692,.4170288281141502,lc_sentstr_complexity_z
week,5,Week 5,12,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6319444378217062,.0463961456759038,.4170288281141502,lc_sentstr_complexity_z
week,6,Week 6,12,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.65972222139438,.0537506697525747,.4170288281141502,lc_sentstr_complexity_z
week,10,Week 10,11,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7896103994412855,.0585885580180769,.4170288281141502,lc_sentstr_complexity_z
week,13,Week 13,11,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7415584379976446,.0385275296469068,.4170288281141502,lc_sentstr_complexity_z
week,14,Week 14,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7946428656578064,.0803571343421936,.4170288281141502,lc_sentstr_complexity_z
week,15,Week 15,15,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7622222304344177,.0263003937228873,.4170288281141501,lc_sentstr_complexity_z
week,16,Week 16,13,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6964008189164675,.0381730423261832,.4170288281141502,lc_sentstr_complexity_z
week,18,Week 18,11,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.8636363636363636,.041060324663868,.4170288281141502,lc_sentstr_complexity_z
week,19,Week 19,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5000000149011612,.1000000089406967,.4170288281141502,lc_sentstr_complexity_z
week,20,Week 20,12,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.752976194024086,.0349966807439161,.4170288281141502,lc_sentstr_complexity_z
week,21,Week 21,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.8911954388022423,.0300365214957207,.4170288281141502,lc_sentstr_complexity_z
week,22,Week 22,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6307291723787785,.0411907862944603,.4170288281141502,lc_sentstr_complexity_z
week,23,Week 23,14,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7773809518132891,.0423877958106697,.4170288281141502,lc_sentstr_complexity_z
week,1,Week 1,19,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7579787256897205,.0240079178531916,-.4482918377846038,lc_vocab_complexity_z
week,2,Week 2,19,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.662813672229316,.0266790223186267,-.4629100498862757,lc_vocab_complexity_z
week,3,Week 3,19,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7456829572606849,.016974881936119,-.4629100498862756,lc_vocab_complexity_z
week,4,Week 4,12,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7318857530380893,.0373745552176692,-.4629100498862758,lc_vocab_complexity_z
week,5,Week 5,12,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6318399627631515,.0463961456759038,-.4629100498862758,lc_vocab_complexity_z
week,6,Week 6,12,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6596177463358253,.0537506697525747,-.4629100498862758,lc_vocab_complexity_z
week,10,Week 10,11,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7901266001358933,.0586101080301919,.2332585705920452,lc_vocab_complexity_z
week,13,Week 13,11,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7405717243469433,.0385420146182752,-1.452455429253561,lc_vocab_complexity_z
week,14,Week 14,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7945383905992516,.0803571343421936,-.4629100498862759,lc_vocab_complexity_z
week,15,Week 15,15,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7621755350357861,.0262985391852799,-.3981026429021972,lc_vocab_complexity_z
week,16,Week 16,13,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6962963438579128,.0381730423261832,-.4629100498862758,lc_vocab_complexity_z
week,18,Week 18,11,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.8635318885778088,.041060324663868,-.4629100498862758,lc_vocab_complexity_z
