period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,23,genre_adjusted,Genre-adjusted,controls,.7500424981117249,.0383615037849471,.850931704044342,V+B+M+literary+fiction
week,2,Week 2,2,genre_adjusted,Genre-adjusted,controls,.5573606491088867,.3055555479847034,1,V+B+M+literary+fiction
week,3,Week 3,2,genre_adjusted,Genre-adjusted,controls,.7158660888671875,.0012167990258906,.7857142686843872,V+B+M+literary+fiction
week,4,Week 4,16,genre_adjusted,Genre-adjusted,controls,.5744354724884033,.0489020496606827,1,V+B+M+literary+fiction
week,5,Week 5,6,genre_adjusted,Genre-adjusted,controls,.6693955659866333,.0870325080911491,1,V+B+M+literary+fiction
week,6,Week 6,7,genre_adjusted,Genre-adjusted,controls,.5597732067108154,.0610944546467646,.9740259647369385,V+B+M+literary+fiction
week,7,Week 7,1,genre_adjusted,Genre-adjusted,controls,-1.627101302146912,,.5,V+B+M+literary+fiction
week,1,Week 1,23,atos_adjusted,ATOS (published),external,.7191180506307338,.0413215273592607,-1.189308565217392,atos_published_z
week,2,Week 2,2,atos_adjusted,ATOS (published),external,.5247739912557934,.3055555447936058,-1.545767,atos_published_z
week,3,Week 3,2,atos_adjusted,ATOS (published),external,.5907462225842808,.09375,-1.545767,atos_published_z
week,4,Week 4,16,atos_adjusted,ATOS (published),external,.5418487727257942,.0489020489117609,-1.545767,atos_published_z
week,5,Week 5,6,atos_adjusted,ATOS (published),external,.6368089006829595,.0870325011791639,-1.545767,atos_published_z
week,6,Week 6,7,atos_adjusted,ATOS (published),external,.5159704075742099,.0620291107477432,-1.545767,atos_published_z
week,7,Week 7,1,atos_adjusted,ATOS (published),external,.4230999409994063,,-1.06751875,atos_published_z
week,1,Week 1,23,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7098324723109918,.0414635776735696,.41702882811415,lc_sentstr_complexity_z
week,2,Week 2,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5225222499366355,.3055555447936058,.4170288281141502,lc_sentstr_complexity_z
week,3,Week 3,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6810276863225683,.0012167949425547,-.1861735839795304,lc_sentstr_complexity_z
week,4,Week 4,16,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5395970314066362,.0489020489117609,.4170288281141501,lc_sentstr_complexity_z
week,5,Week 5,6,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6345571593638014,.0870325011791639,.4170288281141501,lc_sentstr_complexity_z
week,6,Week 6,7,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5249348123226213,.061094450480713,.343913384224007,lc_sentstr_complexity_z
week,7,Week 7,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4473962732977998,,.182450112299941,lc_sentstr_complexity_z
week,1,Week 1,23,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7189386911630867,.0413215273592607,-.2558943754029723,lc_vocab_complexity_z
week,2,Week 2,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5245946317881465,.3055555447936058,-.4629100498862759,lc_vocab_complexity_z
week,3,Week 3,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5905668631166339,.09375,-.4629100498862759,lc_vocab_complexity_z
week,4,Week 4,16,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5416694132581472,.0489020489117609,-.4629100498862757,lc_vocab_complexity_z
week,5,Week 5,6,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6366295412153126,.0870325011791639,-.4629100498862759,lc_vocab_complexity_z
