period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,24,genre_adjusted,Genre-adjusted,controls,.6526256203651428,.0257179180764819,.8166666626930237,V+B+M+literary+fiction
week,2,Week 2,7,genre_adjusted,Genre-adjusted,controls,.6107038259506226,.068013602591995,1,V+B+M+literary+fiction
week,3,Week 3,8,genre_adjusted,Genre-adjusted,controls,.5071324110031128,.0585757848908497,1,V+B+M+literary+fiction
week,4,Week 4,1,genre_adjusted,Genre-adjusted,controls,.4392752647399902,,1,V+B+M+literary+fiction
week,7,Week 7,1,genre_adjusted,Genre-adjusted,controls,.8964181542396545,,1,V+B+M+literary+fiction
week,8,Week 8,11,genre_adjusted,Genre-adjusted,controls,.6207687854766846,.0700769244809671,1,V+B+M+literary+fiction
week,12,Week 12,1,genre_adjusted,Genre-adjusted,controls,.6010204553604126,,.6666666865348816,V+B+M+literary+fiction
week,16,Week 16,2,genre_adjusted,Genre-adjusted,controls,.3539120852947235,.0886569916607269,0,V+B+M+literary+fiction
week,17,Week 17,6,genre_adjusted,Genre-adjusted,controls,.3787471652030945,.1166790809944828,0,V+B+M+literary+fiction
week,18,Week 18,3,genre_adjusted,Genre-adjusted,controls,.57142573595047,.0578174033180403,0,V+B+M+literary+fiction
week,1,Week 1,24,atos_adjusted,ATOS (published),external,.6380030958715712,.0280163981383297,-1.346496833333334,atos_published_z
week,2,Week 2,7,atos_adjusted,ATOS (published),external,.6160836301873001,.0680136003255167,-1.545767,atos_published_z
week,3,Week 3,8,atos_adjusted,ATOS (published),external,.5125122016690898,.0585757815356082,-1.545767,atos_published_z
week,4,Week 4,1,atos_adjusted,ATOS (published),external,.444655064719193,,-1.545767,atos_published_z
week,7,Week 7,1,atos_adjusted,ATOS (published),external,.9017979244165349,,-1.545767,atos_published_z
week,8,Week 8,11,atos_adjusted,ATOS (published),external,.6261485617494945,.0700769221160889,-1.545767,atos_published_z
week,12,Week 12,1,atos_adjusted,ATOS (published),external,.5565402782098813,,-.7486863333333332,atos_published_z
week,16,Week 16,2,atos_adjusted,ATOS (published),external,.3928107767168316,.0625,.8454750000000002,atos_published_z
week,17,Week 17,6,atos_adjusted,ATOS (published),external,.4438028433783485,.11667908116973,.8454750000000003,atos_published_z
week,18,Week 18,3,atos_adjusted,ATOS (published),external,.4969774433834983,.0881917126216637,.8454750000000001,atos_published_z
week,1,Week 1,24,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6112100606163343,.0306187621557624,.41702882811415,lc_sentstr_complexity_z
week,2,Week 2,7,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5714285714285714,.0680136003255167,.4170288281141502,lc_sentstr_complexity_z
week,3,Week 3,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4678571429103613,.0585757815356082,.4170288281141503,lc_sentstr_complexity_z
week,4,Week 4,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4000000059604645,,.4170288281141502,lc_sentstr_complexity_z
