period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,21,genre_adjusted,Genre-adjusted,controls,.5346235632896423,.0430650882682482,1,V+B+M+literary+fiction
week,2,Week 2,18,genre_adjusted,Genre-adjusted,controls,.3845794796943665,.0437170750112533,1,V+B+M+literary+fiction
week,3,Week 3,15,genre_adjusted,Genre-adjusted,controls,.4428941011428833,.0405682760732503,1,V+B+M+literary+fiction
week,4,Week 4,5,genre_adjusted,Genre-adjusted,controls,.6542664170265198,.0817771324044145,1,V+B+M+literary+fiction
week,5,Week 5,20,genre_adjusted,Genre-adjusted,controls,.4514985978603363,.0406365736353202,1,V+B+M+literary+fiction
week,6,Week 6,19,genre_adjusted,Genre-adjusted,controls,.3778374791145325,.0508838661009852,1,V+B+M+literary+fiction
week,7,Week 7,20,genre_adjusted,Genre-adjusted,controls,.4269446134567261,.0425372802500007,1,V+B+M+literary+fiction
week,8,Week 8,2,genre_adjusted,Genre-adjusted,controls,.9398725032806396,.0189393765330146,1,V+B+M+literary+fiction
week,9,Week 9,20,genre_adjusted,Genre-adjusted,controls,.7285301089286804,.0316108961443411,1,V+B+M+literary+fiction
week,10,Week 10,15,genre_adjusted,Genre-adjusted,controls,.4365415573120117,.0782655365751711,1,V+B+M+literary+fiction
week,1,Week 1,21,atos_adjusted,ATOS (published),external,.5303571437086377,.0430650894169347,-1.545767000000001,atos_published_z
week,2,Week 2,18,atos_adjusted,ATOS (published),external,.3769049665166272,.0436803799448882,-1.545767000000001,atos_published_z
week,3,Week 3,10,atos_adjusted,ATOS (published),external,.3909549705684185,.0490469552707272,-1.545767,atos_published_z
week,4,Week 4,5,atos_adjusted,ATOS (published),external,.65,.0817771347112472,-1.545767,atos_published_z
week,5,Week 5,20,atos_adjusted,ATOS (published),external,.4472321432083845,.0406365747776323,-1.545767000000001,atos_published_z
week,6,Week 6,18,atos_adjusted,ATOS (published),external,.3735710287259685,.053793828523992,-1.545767000000001,atos_published_z
week,8,Week 8,2,atos_adjusted,ATOS (published),external,.935606062412262,.0189393758773804,-1.545767,atos_published_z
week,9,Week 9,20,atos_adjusted,ATOS (published),external,.7242636561393738,.0316108955964532,-1.545767000000001,atos_published_z
week,10,Week 10,15,atos_adjusted,ATOS (published),external,.4322751313447952,.0782655362137373,-1.545767,atos_published_z
week,1,Week 1,21,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5303571437086377,.0430650894169347,.41702882811415,lc_sentstr_complexity_z
week,2,Week 2,18,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.3769049665166272,.0436803799448882,.4170288281141501,lc_sentstr_complexity_z
week,3,Week 3,15,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.3973033135135969,.0409375598841039,.41702882811415,lc_sentstr_complexity_z
week,4,Week 4,5,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.65,.0817771347112472,.4170288281141502,lc_sentstr_complexity_z
week,5,Week 5,20,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4472321432083845,.0406365747776323,.41702882811415,lc_sentstr_complexity_z
week,6,Week 6,19,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.3769357114246017,.050994990717435,.41702882811415,lc_sentstr_complexity_z
week,7,Week 7,20,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4866071432828903,.0425372808670321,.41702882811415,lc_sentstr_complexity_z
week,8,Week 8,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.935606062412262,.0189393758773804,.4170288281141502,lc_sentstr_complexity_z
week,9,Week 9,20,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7242636561393738,.0316108955964532,.41702882811415,lc_sentstr_complexity_z
week,10,Week 10,15,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4322751313447952,.0782655362137373,.4170288281141501,lc_sentstr_complexity_z
week,1,Week 1,21,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5390184882038292,.0430650894169347,-.4629100498862757,lc_vocab_complexity_z
week,2,Week 2,18,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.3855663110118186,.0436803799448882,-.4629100498862757,lc_vocab_complexity_z
week,3,Week 3,15,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.4059646580087882,.0409375598841039,-.4629100498862757,lc_vocab_complexity_z
week,4,Week 4,5,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6586613444951912,.0817771347112472,-.4629100498862759,lc_vocab_complexity_z
week,5,Week 5,20,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.4558934877035759,.0406365747776324,-.4629100498862757,lc_vocab_complexity_z
week,6,Week 6,19,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.3822323732211599,.0508838676655853,-.3898189893779165,lc_vocab_complexity_z
week,7,Week 7,20,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.431339516504051,.0425372808670321,.9258200997725512,lc_vocab_complexity_z
week,8,Week 8,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.9442674069074533,.0189393758773804,-.4629100498862758,lc_vocab_complexity_z
week,9,Week 9,20,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7329250006345652,.0316108955964532,-.4629100498862757,lc_vocab_complexity_z
