period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,1,Week 1,217,genre_adjusted,Genre-adjusted,controls,.5564559102058411,.7936009168624878,V+B+M+literary+fiction
week,2,Week 2,106,genre_adjusted,Genre-adjusted,controls,.5334875583648682,.9438833594322205,V+B+M+literary+fiction
week,3,Week 3,74,genre_adjusted,Genre-adjusted,controls,.5417671203613281,.9511854648590088,V+B+M+literary+fiction
week,4,Week 4,123,genre_adjusted,Genre-adjusted,controls,.6075590848922729,.9719963669776917,V+B+M+literary+fiction
week,5,Week 5,93,genre_adjusted,Genre-adjusted,controls,.6057996153831482,.9784946441650391,V+B+M+literary+fiction
week,6,Week 6,81,genre_adjusted,Genre-adjusted,controls,.6430206298828125,.9177727103233337,V+B+M+literary+fiction
week,7,Week 7,97,genre_adjusted,Genre-adjusted,controls,.6164056658744812,.8268115520477295,V+B+M+literary+fiction
week,8,Week 8,81,genre_adjusted,Genre-adjusted,controls,.5913890600204468,.4839297533035278,V+B+M+literary+fiction
week,9,Week 9,57,genre_adjusted,Genre-adjusted,controls,.5623010993003845,1,V+B+M+literary+fiction
week,10,Week 10,62,genre_adjusted,Genre-adjusted,controls,.6224362254142761,.998924732208252,V+B+M+literary+fiction
week,11,Week 11,52,genre_adjusted,Genre-adjusted,controls,.5039899349212646,.9358974099159241,V+B+M+literary+fiction
week,12,Week 12,38,genre_adjusted,Genre-adjusted,controls,.5719457864761353,.2227812111377716,V+B+M+literary+fiction
week,13,Week 13,75,genre_adjusted,Genre-adjusted,controls,.4821662306785583,.9211227893829346,V+B+M+literary+fiction
week,14,Week 14,47,genre_adjusted,Genre-adjusted,controls,.5664563775062561,.8869420289993286,V+B+M+literary+fiction
week,15,Week 15,38,genre_adjusted,Genre-adjusted,controls,.557794988155365,.0399074628949165,V+B+M+literary+fiction
week,16,Week 16,25,genre_adjusted,Genre-adjusted,controls,.4896773099899292,.5855708718299866,V+B+M+literary+fiction
week,17,Week 17,80,genre_adjusted,Genre-adjusted,controls,.6507220268249512,.9585526585578918,V+B+M+literary+fiction
week,18,Week 18,35,genre_adjusted,Genre-adjusted,controls,.5976843237876892,.9428571462631226,V+B+M+literary+fiction
week,19,Week 19,30,genre_adjusted,Genre-adjusted,controls,.6208882927894592,.8298925757408142,V+B+M+literary+fiction
week,20,Week 20,41,genre_adjusted,Genre-adjusted,controls,.6667818427085876,.7524505257606506,V+B+M+literary+fiction
week,21,Week 21,49,genre_adjusted,Genre-adjusted,controls,.6886796355247498,.5316917896270752,V+B+M+literary+fiction
week,22,Week 22,50,genre_adjusted,Genre-adjusted,controls,.7131429314613342,.9399999976158142,V+B+M+literary+fiction
week,23,Week 23,62,genre_adjusted,Genre-adjusted,controls,.6842440962791443,.7859750986099243,V+B+M+literary+fiction
week,24,Week 24,29,genre_adjusted,Genre-adjusted,controls,.6802040338516235,.4843260049819946,V+B+M+literary+fiction
week,25,Week 25,105,genre_adjusted,Genre-adjusted,controls,.6750155091285706,.5748998522758484,V+B+M+literary+fiction
week,26,Week 26,112,genre_adjusted,Genre-adjusted,controls,.6793833374977112,.288412481546402,V+B+M+literary+fiction
week,27,Week 27,59,genre_adjusted,Genre-adjusted,controls,.5306593775749207,.7052811980247498,V+B+M+literary+fiction
week,28,Week 28,2,genre_adjusted,Genre-adjusted,controls,.7439277768135071,1,V+B+M+literary+fiction
week,29,Week 29,29,genre_adjusted,Genre-adjusted,controls,.5410482883453369,0,V+B+M+literary+fiction
week,30,Week 30,3,genre_adjusted,Genre-adjusted,controls,.7605944275856018,1,V+B+M+literary+fiction
week,31,Week 31,2,genre_adjusted,Genre-adjusted,controls,.5960389375686646,0,V+B+M+literary+fiction
week,32,Week 32,5,genre_adjusted,Genre-adjusted,controls,.7497081160545349,0,V+B+M+literary+fiction
week,33,Week 33,47,genre_adjusted,Genre-adjusted,controls,.7738837599754333,0,V+B+M+literary+fiction
week,34,Week 34,50,genre_adjusted,Genre-adjusted,controls,.6836316585540771,0,V+B+M+literary+fiction
week,35,Week 35,61,genre_adjusted,Genre-adjusted,controls,.7222335934638977,0,V+B+M+literary+fiction
week,36,Week 36,51,genre_adjusted,Genre-adjusted,controls,.6953570246696472,0,V+B+M+literary+fiction
week,37,Week 37,49,genre_adjusted,Genre-adjusted,controls,.6992394924163818,0,V+B+M+literary+fiction
week,38,Week 38,78,genre_adjusted,Genre-adjusted,controls,.6599352359771729,0,V+B+M+literary+fiction
week,39,Week 39,48,genre_adjusted,Genre-adjusted,controls,.6078220009803772,0,V+B+M+literary+fiction
week,40,Week 40,43,genre_adjusted,Genre-adjusted,controls,.4874646365642548,0,V+B+M+literary+fiction
week,1,Week 1,194,atos_adjusted,ATOS (published),external,.5706687372831842,-1.121412811432866,atos_published_z
week,2,Week 2,105,atos_adjusted,ATOS (published),external,.5480673014736388,-1.224332085714286,atos_published_z
week,3,Week 3,72,atos_adjusted,ATOS (published),external,.5441777288905815,-1.283869125,atos_published_z
week,4,Week 4,115,atos_adjusted,ATOS (published),external,.6375837587851397,-1.078212460869566,atos_published_z
week,5,Week 5,81,atos_adjusted,ATOS (published),external,.5870964391590136,-1.242117296296297,atos_published_z
week,6,Week 6,46,atos_adjusted,ATOS (published),external,.596903713714943,-1.364567326086956,atos_published_z
week,7,Week 7,52,atos_adjusted,ATOS (published),external,.5537194344944419,-1.422263307692307,atos_published_z
