period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,22,genre_adjusted,Genre-adjusted,controls,.7387657761573792,.0229772201246794,.8381398320198059,V+B+M+literary+fiction
week,2,Week 2,16,genre_adjusted,Genre-adjusted,controls,.564591109752655,.0318654626607895,1,V+B+M+literary+fiction
week,3,Week 3,16,genre_adjusted,Genre-adjusted,controls,.6014792919158936,.0601009465754032,1,V+B+M+literary+fiction
week,5,Week 5,16,genre_adjusted,Genre-adjusted,controls,.6525209546089172,.0436730459332466,1,V+B+M+literary+fiction
week,7,Week 7,10,genre_adjusted,Genre-adjusted,controls,.75359046459198,.0250653009579206,1,V+B+M+literary+fiction
week,8,Week 8,21,genre_adjusted,Genre-adjusted,controls,.6660739779472351,.0363503148486164,1,V+B+M+literary+fiction
week,9,Week 9,1,genre_adjusted,Genre-adjusted,controls,.1050165221095085,,.8333333134651184,V+B+M+literary+fiction
week,16,Week 16,1,genre_adjusted,Genre-adjusted,controls,.4592398107051849,,0,V+B+M+literary+fiction
week,17,Week 17,13,genre_adjusted,Genre-adjusted,controls,.169901043176651,.0496203594807635,0,V+B+M+literary+fiction
week,18,Week 18,4,genre_adjusted,Genre-adjusted,controls,.2561221122741699,.0373430177569389,0,V+B+M+literary+fiction
week,19,Week 19,1,genre_adjusted,Genre-adjusted,controls,.1596574634313583,,0,V+B+M+literary+fiction
week,1,Week 1,22,atos_adjusted,ATOS (published),external,.6117711920629848,.0246066903783555,-1.545767000000001,atos_published_z
week,2,Week 2,16,atos_adjusted,ATOS (published),external,.5381118152290583,.0318654580414749,-1.545767000000001,atos_published_z
week,3,Week 3,16,atos_adjusted,ATOS (published),external,.5750000104308128,.0601009476716263,-1.545767,atos_published_z
week,5,Week 5,16,atos_adjusted,ATOS (published),external,.6260416572913527,.0436730463190497,-1.545767,atos_published_z
week,7,Week 7,1,atos_adjusted,ATOS (published),external,.5833333134651184,,-1.545767,atos_published_z
week,8,Week 8,21,atos_adjusted,ATOS (published),external,.6281533539295197,.0373023492881504,-1.545767000000001,atos_published_z
week,9,Week 9,1,atos_adjusted,ATOS (published),external,.25,,-1.545767,atos_published_z
week,16,Week 16,1,atos_adjusted,ATOS (published),external,.875,,.8454750000000002,atos_published_z
week,17,Week 17,13,atos_adjusted,ATOS (published),external,.5943737568763586,.050831590888212,.8454750000000003,atos_published_z
week,18,Week 18,4,atos_adjusted,ATOS (published),external,.7297618985176086,.0499290926997342,.8454750000000001,atos_published_z
week,19,Week 19,1,atos_adjusted,ATOS (published),external,.5833333134651184,,.8454750000000001,atos_published_z
week,1,Week 1,22,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6117711920629848,.0246066903783555,.4170288281141499,lc_sentstr_complexity_z
week,2,Week 2,16,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5381118152290583,.0318654580414749,.41702882811415,lc_sentstr_complexity_z
week,3,Week 3,16,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5750000104308128,.0601009476716263,.4170288281141501,lc_sentstr_complexity_z
week,5,Week 5,16,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6260416572913527,.0436730463190497,.4170288281141501,lc_sentstr_complexity_z
week,7,Week 7,10,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4000000029802322,.0322987567246098,.4170288281141502,lc_sentstr_complexity_z
week,8,Week 8,21,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6281533539295197,.0373023492881504,.41702882811415,lc_sentstr_complexity_z
week,9,Week 9,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.25,,-.0521286035142681,lc_sentstr_complexity_z
week,16,Week 16,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.875,,.4170288281141502,lc_sentstr_complexity_z
week,17,Week 17,13,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5943737568763586,.050831590888212,.4170288281141501,lc_sentstr_complexity_z
week,18,Week 18,4,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7297618985176086,.0499290926997342,.4170288281141502,lc_sentstr_complexity_z
week,19,Week 19,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5833333134651184,,.4170288281141502,lc_sentstr_complexity_z
week,1,Week 1,22,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6257624023481907,.0241189708786071,-.6876901164077118,lc_vocab_complexity_z
week,2,Week 2,16,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5352938678779218,.0318654580414749,-.4629100498862757,lc_vocab_complexity_z
week,3,Week 3,16,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5721820630796763,.0601009476716263,-.4629100498862757,lc_vocab_complexity_z
week,5,Week 5,16,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6232237099402163,.0436730463190497,-.4629100498862757,lc_vocab_complexity_z
week,7,Week 7,10,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.3971820556290958,.0322987567246098,-.4629100498862758,lc_vocab_complexity_z
week,8,Week 8,21,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6253354065783832,.0373023492881504,-.4629100498862757,lc_vocab_complexity_z
