period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,7,genre_adjusted,Genre-adjusted,controls,.2694544196128845,.0608938839619023,1,V+B+M+literary+fiction
week,2,Week 2,1,genre_adjusted,Genre-adjusted,controls,.2259879559278488,,1,V+B+M+literary+fiction
week,3,Week 3,1,genre_adjusted,Genre-adjusted,controls,.142654612660408,,1,V+B+M+literary+fiction
week,4,Week 4,11,genre_adjusted,Genre-adjusted,controls,.2895301878452301,.0546522397535597,1,V+B+M+literary+fiction
week,5,Week 5,3,genre_adjusted,Genre-adjusted,controls,.2149989455938339,.06320672077846,1,V+B+M+literary+fiction
week,6,Week 6,1,genre_adjusted,Genre-adjusted,controls,.5236526131629944,,1,V+B+M+literary+fiction
week,7,Week 7,1,genre_adjusted,Genre-adjusted,controls,.5379383563995361,,1,V+B+M+literary+fiction
week,8,Week 8,1,genre_adjusted,Genre-adjusted,controls,.5379383563995361,,1,V+B+M+literary+fiction
week,9,Week 9,8,genre_adjusted,Genre-adjusted,controls,.4950811862945557,.0564407835959697,1,V+B+M+literary+fiction
week,10,Week 10,6,genre_adjusted,Genre-adjusted,controls,.2660896182060242,.0701194094374664,1,V+B+M+literary+fiction
week,15,Week 15,1,genre_adjusted,Genre-adjusted,controls,.1792376041412354,,1,V+B+M+literary+fiction
week,16,Week 16,1,genre_adjusted,Genre-adjusted,controls,1.040711879730225,,0,V+B+M+literary+fiction
week,19,Week 19,5,genre_adjusted,Genre-adjusted,controls,.5887511968612671,.084929798387279,.9586206674575806,V+B+M+literary+fiction
week,23,Week 23,3,genre_adjusted,Genre-adjusted,controls,.9044973850250244,.062393917251012,.0416666679084301,V+B+M+literary+fiction
week,24,Week 24,4,genre_adjusted,Genre-adjusted,controls,.8482412695884705,.040376964956522,.3863636255264282,V+B+M+literary+fiction
week,25,Week 25,1,genre_adjusted,Genre-adjusted,controls,.892905592918396,,0,V+B+M+literary+fiction
week,26,Week 26,1,genre_adjusted,Genre-adjusted,controls,.9929056167602539,,0,V+B+M+literary+fiction
week,29,Week 29,15,genre_adjusted,Genre-adjusted,controls,.7380907535552979,.030107912189293,0,V+B+M+literary+fiction
week,1,Week 1,6,atos_adjusted,ATOS (published),external,.4783941985377364,.069980163565718,-1.402617857142857,atos_published_z
week,2,Week 2,1,atos_adjusted,ATOS (published),external,.4911328475726039,,-.794234,atos_published_z
week,3,Week 3,1,atos_adjusted,ATOS (published),external,.4077995043051631,,-.794234,atos_published_z
week,4,Week 4,9,atos_adjusted,ATOS (published),external,.5677401874845945,.0541456249277639,-.7942340000000001,atos_published_z
week,5,Week 5,3,atos_adjusted,ATOS (published),external,.4801438471726964,.0632067238439219,-.794234,atos_published_z
week,15,Week 15,1,atos_adjusted,ATOS (published),external,.1352715601776258,,-1.409125,atos_published_z
week,19,Week 19,5,atos_adjusted,ATOS (published),external,.5424134796116963,.0851868954811219,-1.409125,atos_published_z
week,23,Week 23,3,atos_adjusted,ATOS (published),external,.5148111640944326,.0642783571360689,.1980497142857143,atos_published_z
week,24,Week 24,3,atos_adjusted,ATOS (published),external,.7266345000229394,.0831267603427542,-.6575916666666665,atos_published_z
week,1,Week 1,7,czi_adjusted,CZI via Claude,external,.4304009976560348,.066536618848212,-1.45152602718497,czi_score
week,2,Week 2,1,czi_adjusted,CZI via Claude,external,.4832239401933756,,-1.10884099227594,czi_score
week,3,Week 3,1,czi_adjusted,CZI via Claude,external,.3998905969259348,,-1.10884099227594,czi_score
week,4,Week 4,11,czi_adjusted,CZI via Claude,external,.55042084821729,.0546313510391219,-.9432511343090556,czi_score
week,5,Week 5,3,czi_adjusted,CZI via Claude,external,.4722349397934681,.0632067238439219,-1.10884099227594,czi_score
week,6,Week 6,1,czi_adjusted,CZI via Claude,external,.7889631513744783,,-.742991214783675,czi_score
week,7,Week 7,1,czi_adjusted,CZI via Claude,external,.80324889461102,,-.7429912147836749,czi_score
week,8,Week 8,1,czi_adjusted,CZI via Claude,external,.80324889461102,,-.7429912147836749,czi_score
week,9,Week 9,8,czi_adjusted,CZI via Claude,external,.7603917319566201,.0564407856512806,-.7429912147836751,czi_score
week,10,Week 10,6,czi_adjusted,CZI via Claude,external,.5314001514504543,.0701194086432114,-.7429912147836751,czi_score
week,15,Week 15,1,czi_adjusted,CZI via Claude,external,.0298240950255839,,-2.084440398921982,czi_score
week,16,Week 16,1,czi_adjusted,CZI via Claude,external,.738214510053353,,2.244781968069827,czi_score
week,19,Week 19,5,czi_adjusted,CZI via Claude,external,.4434568578896244,.0846395215484885,-1.965854608976213,czi_score
week,23,Week 23,3,czi_adjusted,CZI via Claude,external,.7079816331885259,.0667153749206359,1.263485405797853,czi_score
week,24,Week 24,4,czi_adjusted,CZI via Claude,external,.7105441280402196,.0870395902751939,.0635412492333651,czi_score
week,25,Week 25,1,czi_adjusted,CZI via Claude,external,.453248870769162,,-.742991214783675,czi_score
week,26,Week 26,1,czi_adjusted,CZI via Claude,external,.55324889461102,,-.742991214783675,czi_score
week,29,Week 29,15,czi_adjusted,CZI via Claude,external,.2984340681622615,.0301079117548393,-.7429912147836751,czi_score
week,1,Week 1,7,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4049871505583374,.0633125045360556,.4170288281141502,lc_sentstr_complexity_z
week,2,Week 2,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4390530825937836,,.4170288281141502,lc_sentstr_complexity_z
week,3,Week 3,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.3557197393263428,,.4170288281141502,lc_sentstr_complexity_z
week,4,Week 4,11,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4971863596198734,.054708301300155,.4170288281141502,lc_sentstr_complexity_z
week,5,Week 5,3,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4280640821938761,.0632067238439219,.4170288281141502,lc_sentstr_complexity_z
week,6,Week 6,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7247673512781708,,.4170288281141502,lc_sentstr_complexity_z
week,7,Week 7,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7390530945147126,,.4170288281141502,lc_sentstr_complexity_z
week,8,Week 8,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7390530945147126,,.4170288281141502,lc_sentstr_complexity_z
week,9,Week 9,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6961959318603127,.0564407856512806,.4170288281141502,lc_sentstr_complexity_z
week,10,Week 10,6,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4672043513541469,.0701194086432114,.4170288281141502,lc_sentstr_complexity_z
week,15,Week 15,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.0390530840838997,,.4170288281141502,lc_sentstr_complexity_z
week,16,Week 16,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5104816795672028,,.4170288281141502,lc_sentstr_complexity_z
week,19,Week 19,5,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4566011705781099,.0845489139423335,.3005483623305428,lc_sentstr_complexity_z
week,23,Week 23,3,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5339604855860322,.0661648380112191,.4170288281141502,lc_sentstr_complexity_z
week,24,Week 24,4,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.602202431985244,.1084749766877471,.4170288281141502,lc_sentstr_complexity_z
week,25,Week 25,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.640535441292894,,-2.39791576165636,lc_sentstr_complexity_z
week,26,Week 26,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7405354651347519,,-2.39791576165636,lc_sentstr_complexity_z
week,29,Week 29,15,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4857206386859933,.0301079117548394,-2.39791576165636,lc_sentstr_complexity_z
week,1,Week 1,7,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.4792878507209914,.0614780517044298,-.1576946323788414,lc_vocab_complexity_z
week,2,Week 2,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5228631652734869,,-.4629100498862759,lc_vocab_complexity_z
week,3,Week 3,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.439529822006046,,-.4629100498862759,lc_vocab_complexity_z
week,4,Week 4,11,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5614127465933564,.0551604421413,.1656529352072374,lc_vocab_complexity_z
week,5,Week 5,3,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5118741648735794,.0632067238439219,-.4629100498862758,lc_vocab_complexity_z
week,6,Week 6,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7653097435052999,,.9258200997725512,lc_vocab_complexity_z
week,7,Week 7,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7795954867418416,,.9258200997725513,lc_vocab_complexity_z
week,8,Week 8,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7795954867418416,,.9258200997725513,lc_vocab_complexity_z
week,9,Week 9,8,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7367383240874419,.0564407856512806,.9258200997725511,lc_vocab_complexity_z
week,10,Week 10,6,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5077467435812759,.0701194086432114,.9258200997725511,lc_vocab_complexity_z
week,15,Week 15,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.0795954763110288,,.9258200997725513,lc_vocab_complexity_z
week,16,Week 16,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5510240717943319,,.9258200997725512,lc_vocab_complexity_z
week,19,Week 19,5,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.4867373957450994,.0851868954811219,.9258200997725512,lc_vocab_complexity_z
week,23,Week 23,3,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5745028778131612,.0661648380112191,.9258200997725511,lc_vocab_complexity_z
week,24,Week 24,4,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6427448242123731,.1084749766877471,.9258200997725512,lc_vocab_complexity_z
week,25,Week 25,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.4728631533525579,,-.4629100498862758,lc_vocab_complexity_z
week,26,Week 26,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5728631771944157,,-.4629100498862758,lc_vocab_complexity_z
week,29,Week 29,15,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.3180483507456573,.0301079117548393,-.4629100498862757,lc_vocab_complexity_z
week,1,Week 1,7,lexile_adjusted,Lexile (published),external,.5044695542459731,.0604327029361837,-1.187975733124019,lexile_published_z
week,2,Week 2,1,lexile_adjusted,Lexile (published),external,.5127587506943465,,-.791224,lexile_published_z
week,3,Week 3,1,lexile_adjusted,Lexile (published),external,.4294254074269057,,-.791224,lexile_published_z
week,4,Week 4,11,lexile_adjusted,Lexile (published),external,.5518554341468443,.0551425595978609,-.4982155440771349,lexile_published_z
week,5,Week 5,3,lexile_adjusted,Lexile (published),external,.501769750294439,.0632067238439219,-.7912239999999998,lexile_published_z
week,6,Week 6,1,lexile_adjusted,Lexile (published),external,.7564140816598423,,-.143859,lexile_published_z
