period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,29,genre_adjusted,Genre-adjusted,controls,.5114274024963379,.0391816767751004,.7689077258110046,V+B+M+literary+fiction
week,2,Week 2,30,genre_adjusted,Genre-adjusted,controls,.4816552400588989,.0349913961581513,.9190415143966675,V+B+M+literary+fiction
week,3,Week 3,28,genre_adjusted,Genre-adjusted,controls,.5040796995162964,.0283595385674277,.9285714030265808,V+B+M+literary+fiction
week,4,Week 4,27,genre_adjusted,Genre-adjusted,controls,.5545681715011597,.0383774543890646,.9259259104728699,V+B+M+literary+fiction
week,5,Week 5,30,genre_adjusted,Genre-adjusted,controls,.5468169450759888,.0343875553474526,.9666666388511658,V+B+M+literary+fiction
week,6,Week 6,24,genre_adjusted,Genre-adjusted,controls,.4770207107067108,.0474756724926372,.9583333134651184,V+B+M+literary+fiction
week,7,Week 7,29,genre_adjusted,Genre-adjusted,controls,.4829445481300354,.029183956642747,.8709713816642761,V+B+M+literary+fiction
week,8,Week 8,28,genre_adjusted,Genre-adjusted,controls,.5750063061714172,.0369950212053346,.393770158290863,V+B+M+literary+fiction
week,9,Week 9,27,genre_adjusted,Genre-adjusted,controls,.4828271567821503,.0284168738089532,1,V+B+M+literary+fiction
week,10,Week 10,25,genre_adjusted,Genre-adjusted,controls,.6436465978622437,.0295383542776108,1,V+B+M+literary+fiction
week,11,Week 11,28,genre_adjusted,Genre-adjusted,controls,.6280829906463623,.029582314604973,.9821428656578064,V+B+M+literary+fiction
week,12,Week 12,17,genre_adjusted,Genre-adjusted,controls,.6234327554702759,.052909404350827,.2038639038801193,V+B+M+literary+fiction
week,13,Week 13,25,genre_adjusted,Genre-adjusted,controls,.6380566954612732,.0362785875797272,.9696841835975647,V+B+M+literary+fiction
week,14,Week 14,19,genre_adjusted,Genre-adjusted,controls,.7428227066993713,.0243694946229787,.9308565258979797,V+B+M+literary+fiction
week,15,Week 15,19,genre_adjusted,Genre-adjusted,controls,.6048603653907776,.0438984985489369,.0271833445876837,V+B+M+literary+fiction
week,16,Week 16,2,genre_adjusted,Genre-adjusted,controls,1.062028884887695,.0535714050759238,1,V+B+M+literary+fiction
week,17,Week 17,24,genre_adjusted,Genre-adjusted,controls,.8188740611076355,.0338808837941924,1,V+B+M+literary+fiction
week,18,Week 18,17,genre_adjusted,Genre-adjusted,controls,.7668607234954834,.0497149562410235,1,V+B+M+literary+fiction
week,19,Week 19,2,genre_adjusted,Genre-adjusted,controls,.5859491229057312,.0553936346080044,.5,V+B+M+literary+fiction
week,20,Week 20,22,genre_adjusted,Genre-adjusted,controls,.6625978946685791,.0418609140255576,.8787556290626526,V+B+M+literary+fiction
week,21,Week 21,27,genre_adjusted,Genre-adjusted,controls,.6582563519477844,.0290889090832749,.5776246190071106,V+B+M+literary+fiction
week,22,Week 22,26,genre_adjusted,Genre-adjusted,controls,.668936550617218,.0195049301997075,1,V+B+M+literary+fiction
week,23,Week 23,24,genre_adjusted,Genre-adjusted,controls,.6562533974647522,.0249854023340376,1,V+B+M+literary+fiction
week,24,Week 24,4,genre_adjusted,Genre-adjusted,controls,.6947615146636963,.0499744229018688,1,V+B+M+literary+fiction
week,25,Week 25,26,genre_adjusted,Genre-adjusted,controls,.6280725002288818,.0285620209101646,1,V+B+M+literary+fiction
week,26,Week 26,17,genre_adjusted,Genre-adjusted,controls,.6888662576675415,.0316353703372074,1,V+B+M+literary+fiction
week,27,Week 27,22,genre_adjusted,Genre-adjusted,controls,.4827804267406464,.0261040421649855,.6242126226425171,V+B+M+literary+fiction
week,31,Week 31,2,genre_adjusted,Genre-adjusted,controls,.6341093778610229,.0214285549180888,0,V+B+M+literary+fiction
week,32,Week 32,5,genre_adjusted,Genre-adjusted,controls,.7466156482696533,.0283569973089992,0,V+B+M+literary+fiction
week,33,Week 33,26,genre_adjusted,Genre-adjusted,controls,.7432470321655273,.0231651355541647,0,V+B+M+literary+fiction
week,34,Week 34,27,genre_adjusted,Genre-adjusted,controls,.6272170543670654,.0283358977223411,0,V+B+M+literary+fiction
week,35,Week 35,27,genre_adjusted,Genre-adjusted,controls,.7007988691329956,.0259537175860888,0,V+B+M+literary+fiction
week,36,Week 36,27,genre_adjusted,Genre-adjusted,controls,.6856974959373474,.0193769420373458,0,V+B+M+literary+fiction
week,37,Week 37,25,genre_adjusted,Genre-adjusted,controls,.702298641204834,.0250771194696426,0,V+B+M+literary+fiction
week,38,Week 38,25,genre_adjusted,Genre-adjusted,controls,.6315534710884094,.027656826376915,0,V+B+M+literary+fiction
week,39,Week 39,26,genre_adjusted,Genre-adjusted,controls,.5396381616592407,.0222385069284745,0,V+B+M+literary+fiction
