period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,14,genre_adjusted,Genre-adjusted,controls,.2760894000530243,.0377903239541877,.9533730149269104,V+B+M+literary+fiction
week,2,Week 2,2,genre_adjusted,Genre-adjusted,controls,.1157085373997688,.099999994073888,1,V+B+M+literary+fiction
week,3,Week 3,12,genre_adjusted,Genre-adjusted,controls,.2506917715072632,.0260097515926885,.9489769339561462,V+B+M+literary+fiction
week,4,Week 4,6,genre_adjusted,Genre-adjusted,controls,.3730486631393433,.0979332078811135,.9259259104728699,V+B+M+literary+fiction
week,5,Week 5,7,genre_adjusted,Genre-adjusted,controls,.3730699419975281,.0578885959446108,1,V+B+M+literary+fiction
week,6,Week 6,2,genre_adjusted,Genre-adjusted,controls,.6303697228431702,.0666666627159254,1,V+B+M+literary+fiction
week,7,Week 7,13,genre_adjusted,Genre-adjusted,controls,.516644299030304,.0584907575839286,1,V+B+M+literary+fiction
week,8,Week 8,9,genre_adjusted,Genre-adjusted,controls,.6050705313682556,.0396679515639941,1,V+B+M+literary+fiction
week,9,Week 9,2,genre_adjusted,Genre-adjusted,controls,.655369758605957,.0416666562949193,1,V+B+M+literary+fiction
week,10,Week 10,12,genre_adjusted,Genre-adjusted,controls,.5712793469429016,.0460988742539499,.9944444298744202,V+B+M+literary+fiction
week,16,Week 16,2,genre_adjusted,Genre-adjusted,controls,.2365182638168335,.1566411543243907,.7692307829856873,V+B+M+literary+fiction
week,17,Week 17,3,genre_adjusted,Genre-adjusted,controls,.5043488740921021,.018523406709558,.8947368264198303,V+B+M+literary+fiction
week,18,Week 18,1,genre_adjusted,Genre-adjusted,controls,.5285950899124146,,1,V+B+M+literary+fiction
week,19,Week 19,13,genre_adjusted,Genre-adjusted,controls,.5107568502426147,.0322232914540673,.8541287183761597,V+B+M+literary+fiction
week,21,Week 21,1,genre_adjusted,Genre-adjusted,controls,.7490678429603577,,0,V+B+M+literary+fiction
week,22,Week 22,1,genre_adjusted,Genre-adjusted,controls,.6191943883895874,,0,V+B+M+literary+fiction
week,23,Week 23,9,genre_adjusted,Genre-adjusted,controls,.588783860206604,.0284376641114553,.5117173790931702,V+B+M+literary+fiction
week,24,Week 24,2,genre_adjusted,Genre-adjusted,controls,.5618729591369629,.0257446464037845,.25,V+B+M+literary+fiction
week,25,Week 25,1,genre_adjusted,Genre-adjusted,controls,.7318109273910522,,0,V+B+M+literary+fiction
week,26,Week 26,4,genre_adjusted,Genre-adjusted,controls,.8415331244468689,.0492941364645958,0,V+B+M+literary+fiction
week,27,Week 27,3,genre_adjusted,Genre-adjusted,controls,1.015144228935242,.1460382285768593,0,V+B+M+literary+fiction
week,29,Week 29,14,genre_adjusted,Genre-adjusted,controls,.8635569214820862,.0463182165997367,0,V+B+M+literary+fiction
week,1,Week 1,12,atos_adjusted,ATOS (published),external,.4771458640255014,.0428980577293506,-1.047591715909091,atos_published_z
week,2,Week 2,2,atos_adjusted,ATOS (published),external,.2994480343978096,.1000000014901161,-.794234,atos_published_z
week,3,Week 3,11,atos_adjusted,ATOS (published),external,.4217338305578575,.028383936179065,-.7942340000000001,atos_published_z
week,4,Week 4,6,atos_adjusted,ATOS (published),external,.5503739528179655,.0976621417373199,-.794234,atos_published_z
week,5,Week 5,6,atos_adjusted,ATOS (published),external,.5250372526367992,.0572561358657253,-.794234,atos_published_z
week,8,Week 8,1,atos_adjusted,ATOS (published),external,.6666910973474536,,-1.044745,atos_published_z
week,10,Week 10,2,atos_adjusted,ATOS (published),external,.7191449987213303,.1439394056797027,-.794234,atos_published_z
week,16,Week 16,2,atos_adjusted,ATOS (published),external,.2957345834935667,.1282051280140876,-1.409125,atos_published_z
week,17,Week 17,3,atos_adjusted,ATOS (published),external,.5790304409032029,.0128359269281436,-1.409125,atos_published_z
week,18,Week 18,1,atos_adjusted,ATOS (published),external,.6162474221552374,,-1.409125,atos_published_z
week,19,Week 19,13,atos_adjusted,ATOS (published),external,.580434528416124,.0343850382944285,-1.409125,atos_published_z
week,23,Week 23,8,atos_adjusted,ATOS (published),external,.5723962482905869,.0455855246538426,-1.260681654924242,atos_published_z
week,24,Week 24,2,atos_adjusted,ATOS (published),external,.7826865096323558,.0701317096043926,.2818250000000002,atos_published_z
