period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,1,Week 1,14,genre_adjusted,Genre-adjusted,controls,.726168155670166,.9285714030265808,V+B+M+literary+fiction
week,2,Week 2,1,genre_adjusted,Genre-adjusted,controls,.5118824243545532,0,V+B+M+literary+fiction
week,5,Week 5,1,genre_adjusted,Genre-adjusted,controls,.7868824005126953,1,V+B+M+literary+fiction
week,6,Week 6,5,genre_adjusted,Genre-adjusted,controls,.7118824124336243,.800000011920929,V+B+M+literary+fiction
week,8,Week 8,2,genre_adjusted,Genre-adjusted,controls,1.040771245956421,0,V+B+M+literary+fiction
week,13,Week 13,1,genre_adjusted,Genre-adjusted,controls,1.148260951042175,0,V+B+M+literary+fiction
week,14,Week 14,1,genre_adjusted,Genre-adjusted,controls,-.841278612613678,1,V+B+M+literary+fiction
week,15,Week 15,1,genre_adjusted,Genre-adjusted,controls,3.663034200668335,0,V+B+M+literary+fiction
week,18,Week 18,3,genre_adjusted,Genre-adjusted,controls,-2.7877516746521,1,V+B+M+literary+fiction
week,23,Week 23,6,genre_adjusted,Genre-adjusted,controls,.7460094094276428,0,V+B+M+literary+fiction
week,24,Week 24,1,genre_adjusted,Genre-adjusted,controls,.5952157378196716,0,V+B+M+literary+fiction
week,25,Week 25,10,genre_adjusted,Genre-adjusted,controls,1.031838536262512,0,V+B+M+literary+fiction
week,26,Week 26,3,genre_adjusted,Genre-adjusted,controls,.9788815379142761,0,V+B+M+literary+fiction
week,1,Week 1,14,atos_adjusted,ATOS (published),external,.7055836836921967,-.6771119285714287,atos_published_z
week,2,Week 2,1,atos_adjusted,ATOS (published),external,.4912979523765831,.8454750000000002,atos_published_z
week,6,Week 6,1,atos_adjusted,ATOS (published),external,.6912979404556542,.8454750000000001,atos_published_z
week,8,Week 8,1,atos_adjusted,ATOS (published),external,.5501214782821923,.8454750000000002,atos_published_z
week,18,Week 18,3,atos_adjusted,ATOS (published),external,.7296585395799569,-1.409125,atos_published_z
week,23,Week 23,6,atos_adjusted,ATOS (published),external,.725424932482619,.8454750000000001,atos_published_z
week,24,Week 24,1,atos_adjusted,ATOS (published),external,.5746312658417015,.8454750000000001,atos_published_z
week,25,Week 25,9,atos_adjusted,ATOS (published),external,.5468535178662461,.8454750000000003,atos_published_z
week,26,Week 26,3,atos_adjusted,ATOS (published),external,.5301365673966992,.8454750000000001,atos_published_z
week,1,Week 1,14,clear_adjusted,CLEAR,external,.6894624913404159,-1.673009928571429,clear_complexity_z
week,2,Week 2,1,clear_adjusted,CLEAR,external,.5011675346332581,-.8292830000000001,clear_complexity_z
week,5,Week 5,1,clear_adjusted,CLEAR,external,.7988233438654564,-1.089922,clear_complexity_z
week,6,Week 6,5,clear_adjusted,CLEAR,external,.7192921772506452,-1.0377942,clear_complexity_z
week,8,Week 8,2,clear_adjusted,CLEAR,external,.4097145918440765,-.3695023823529412,clear_complexity_z
week,13,Week 13,1,clear_adjusted,CLEAR,external,.3563749362569592,-.2503000000000001,clear_complexity_z
week,14,Week 14,1,clear_adjusted,CLEAR,external,.7571967114509763,-.158932,clear_complexity_z
week,15,Week 15,1,clear_adjusted,CLEAR,external,.5168827559615683,.9180059999999999,clear_complexity_z
week,18,Week 18,3,clear_adjusted,CLEAR,external,.7049843708544065,-1.640293,clear_complexity_z
week,23,Week 23,6,clear_adjusted,CLEAR,external,.735294514739294,-.8292830000000001,clear_complexity_z
week,24,Week 24,1,clear_adjusted,CLEAR,external,.5845008480983765,-.8292830000000001,clear_complexity_z
week,25,Week 25,10,clear_adjusted,CLEAR,external,.5294451471710472,-.4648642882352941,clear_complexity_z
week,26,Week 26,3,clear_adjusted,CLEAR,external,.5448846917695934,-.286864742081448,clear_complexity_z
week,1,Week 1,14,czi_adjusted,CZI,external,.7448260374286527,-.9868910664451852,czi_score
week,2,Week 2,1,czi_adjusted,CZI,external,.4081035359748536,.5984579693546318,czi_score
week,5,Week 5,1,czi_adjusted,CZI,external,.8272750217049122,-.7429912147836749,czi_score
week,6,Week 6,5,czi_adjusted,CZI,external,.7234407197905289,-.4747013779560135,czi_score
week,8,Week 8,2,czi_adjusted,CZI,external,.4071514693054964,-.4668105004022589,czi_score
week,13,Week 13,1,czi_adjusted,CZI,external,.3772750038235188,-.742991214783675,czi_score
week,14,Week 14,1,czi_adjusted,CZI,external,.750190583918272,-.438116400206787,czi_score
week,15,Week 15,1,czi_adjusted,CZI,external,.310599602858293,1.696007301831428,czi_score
week,18,Week 18,3,czi_adjusted,CZI,external,.8575575920551287,-2.084440398921982,czi_score
week,23,Week 23,6,czi_adjusted,CZI,external,.6422305160808894,.5984579693546318,czi_score
week,24,Week 24,1,czi_adjusted,CZI,external,.491436849439972,.5984579693546318,czi_score
week,25,Week 25,10,czi_adjusted,CZI,external,.5081114725483554,-.2458659288971259,czi_score
week,26,Week 26,3,czi_adjusted,CZI,external,.5026715231910532,-.0288575993418847,czi_score
week,1,Week 1,14,lexile_adjusted,Lexile (published),external,.6981774161081968,-.6709990714285714,lexile_published_z
