period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,16,genre_adjusted,Genre-adjusted,controls,.6568078398704529,.0358206555247307,1,V+B+M+literary+fiction
week,2,Week 2,1,genre_adjusted,Genre-adjusted,controls,.8694964051246643,,.9615384340286255,V+B+M+literary+fiction
week,3,Week 3,2,genre_adjusted,Genre-adjusted,controls,.5219566226005554,.0281339433433329,.9166666269302368,V+B+M+literary+fiction
week,4,Week 4,22,genre_adjusted,Genre-adjusted,controls,.6034835577011108,.0267816910341489,.9545454382896423,V+B+M+literary+fiction
week,5,Week 5,11,genre_adjusted,Genre-adjusted,controls,.6455430388450623,.0713769541402228,.9161615967750549,V+B+M+literary+fiction
week,6,Week 6,9,genre_adjusted,Genre-adjusted,controls,.6236667037010193,.0644648224115372,1,V+B+M+literary+fiction
week,7,Week 7,2,genre_adjusted,Genre-adjusted,controls,.3024688959121704,.2000000092212003,0,V+B+M+literary+fiction
week,10,Week 10,1,genre_adjusted,Genre-adjusted,controls,.9848883152008057,,0,V+B+M+literary+fiction
week,11,Week 11,1,genre_adjusted,Genre-adjusted,controls,1.172641515731812,,0,V+B+M+literary+fiction
week,12,Week 12,1,genre_adjusted,Genre-adjusted,controls,.9160338044166565,,0,V+B+M+literary+fiction
week,13,Week 13,2,genre_adjusted,Genre-adjusted,controls,.8482738137245178,.0133854742534025,0,V+B+M+literary+fiction
week,14,Week 14,14,genre_adjusted,Genre-adjusted,controls,.7408846616744995,.0251511024599517,.030906593427062,V+B+M+literary+fiction
week,15,Week 15,2,genre_adjusted,Genre-adjusted,controls,.8977960348129272,.0531907979604461,0,V+B+M+literary+fiction
week,16,Week 16,1,genre_adjusted,Genre-adjusted,controls,1.016319274902344,,0,V+B+M+literary+fiction
week,17,Week 17,1,genre_adjusted,Genre-adjusted,controls,1.007198452949524,,1,V+B+M+literary+fiction
week,19,Week 19,1,genre_adjusted,Genre-adjusted,controls,.5152350068092346,,.8571428656578064,V+B+M+literary+fiction
week,20,Week 20,8,genre_adjusted,Genre-adjusted,controls,.5910106897354126,.05876604630174,.949999988079071,V+B+M+literary+fiction
week,1,Week 1,16,atos_adjusted,ATOS (published),external,.7513133607298131,.0358206565363638,-1.545767,atos_published_z
week,2,Week 2,1,atos_adjusted,ATOS (published),external,.9670886288821692,,-1.545767,atos_published_z
week,3,Week 3,2,atos_adjusted,ATOS (published),external,.6552754234015936,.0535714328289033,-1.545767,atos_published_z
week,4,Week 4,22,atos_adjusted,ATOS (published),external,.732855343553915,.02886376591769,-1.458812772727273,atos_published_z
week,5,Week 5,11,atos_adjusted,ATOS (published),external,.7467769749971946,.0709621090435537,-1.545767,atos_published_z
week,6,Week 6,9,atos_adjusted,ATOS (published),external,.7181722429798703,.0644648245251624,-1.545767,atos_published_z
week,7,Week 7,2,atos_adjusted,ATOS (published),external,.4006166622866059,.2000000029802322,.367226,atos_published_z
week,10,Week 10,1,atos_adjusted,ATOS (published),external,.6253446771543192,,.8454750000000001,atos_published_z
week,11,Week 11,1,atos_adjusted,ATOS (published),external,.7253447009961772,,.845475,atos_published_z
week,12,Week 12,1,atos_adjusted,ATOS (published),external,.5824875666539835,,.8454750000000002,atos_published_z
week,13,Week 13,2,atos_adjusted,ATOS (published),external,.4657293095033335,.0096153914928436,.8454750000000002,atos_published_z
week,14,Week 14,14,atos_adjusted,ATOS (published),external,.3880523178840422,.0290186581379682,.7831468809523813,atos_published_z
week,15,Week 15,2,atos_adjusted,ATOS (published),external,.4753447009961771,.0357142686843872,.8454750000000002,atos_published_z
week,16,Week 16,1,atos_adjusted,ATOS (published),external,.5824875666539836,,.845475,atos_published_z
week,17,Week 17,1,atos_adjusted,ATOS (published),external,1.080197808410319,,-1.409125,atos_published_z
week,19,Week 19,1,atos_adjusted,ATOS (published),external,.5801978084103188,,-1.409125,atos_published_z
week,20,Week 20,3,atos_adjusted,ATOS (published),external,.6936898701047819,.1328245222265536,-1.409125,atos_published_z
week,1,Week 1,16,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6466219695671712,.0358206565363638,.41702882811415,lc_sentstr_complexity_z
week,2,Week 2,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.8709907167788651,,.308761728507592,lc_sentstr_complexity_z
week,3,Week 3,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5692032368675166,.0349522282003386,.182450112299941,lc_sentstr_complexity_z
week,4,Week 4,22,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6418497404470359,.0332977242030972,.4170288281141499,lc_sentstr_complexity_z
week,5,Week 5,11,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6608176321275333,.070566088380318,.1810284231131883,lc_sentstr_complexity_z
week,6,Week 6,9,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6134808518172288,.0644648245251624,.4170288281141502,lc_sentstr_complexity_z
week,7,Week 7,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5970126083507455,.2000000029802322,.4170288281141502,lc_sentstr_complexity_z
week,10,Week 10,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.8970125755681909,,.4170288281141502,lc_sentstr_complexity_z
week,11,Week 11,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.9970125994100488,,.4170288281141502,lc_sentstr_complexity_z
week,12,Week 12,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.8541554650678552,,.4170288281141502,lc_sentstr_complexity_z
week,13,Week 13,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7373972079172052,.0096153914928436,.4170288281141502,lc_sentstr_complexity_z
week,14,Week 14,14,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6499103490383883,.0264146291036901,.4170288281141502,lc_sentstr_complexity_z
week,15,Week 15,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7470125994100488,.0357142686843872,.4170288281141502,lc_sentstr_complexity_z
week,16,Week 16,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.8541554650678552,,.4170288281141502,lc_sentstr_complexity_z
week,17,Week 17,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.9970125994100488,,.4170288281141502,lc_sentstr_complexity_z
week,19,Week 19,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5289312359161596,,.0148938867183631,lc_sentstr_complexity_z
week,20,Week 20,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6958221225454724,.0602103270807837,.4170288281141503,lc_sentstr_complexity_z
week,1,Week 1,16,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6762923065360168,.0358206565363638,-.4629100498862757,lc_vocab_complexity_z
week,2,Week 2,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.8920675746883732,,-.4629100498862756,lc_vocab_complexity_z
week,3,Week 3,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5655580401163772,.0388751037374828,-.2645200285064435,lc_vocab_complexity_z
week,4,Week 4,22,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6557455403348511,.0308365799793784,-.2499649852177407,lc_vocab_complexity_z
week,5,Week 5,11,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6717559208033989,.0709621090435537,-.4629100498862758,lc_vocab_complexity_z
week,6,Week 6,9,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6431511887860744,.0644648245251624,-.4629100498862759,lc_vocab_complexity_z
week,7,Week 7,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5238086416796484,.2000000029802322,.9258200997725513,lc_vocab_complexity_z
week,10,Week 10,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.9266829125370365,,-.4629100498862759,lc_vocab_complexity_z
week,11,Week 11,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.9238086327389516,,.9258200997725512,lc_vocab_complexity_z
week,12,Week 12,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.780951498396758,,.9258200997725512,lc_vocab_complexity_z
week,13,Week 13,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7393706169829892,.0373123193959051,-.0890211634396686,lc_vocab_complexity_z
week,14,Week 14,14,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6416845850471374,.0293447731227491,.0486604404666456,lc_vocab_complexity_z
week,15,Week 15,2,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.7472902781960535,.0377673767727147,-.066130007126611,lc_vocab_complexity_z
week,16,Week 16,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.8103441565795988,,.5290400570128864,lc_vocab_complexity_z
week,17,Week 17,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.9238086327389516,,.9258200997725513,lc_vocab_complexity_z
week,19,Week 19,1,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.4238086327389516,,.9258200997725512,lc_vocab_complexity_z
week,20,Week 20,8,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6226181558743753,.0602103270807837,.9258200997725511,lc_vocab_complexity_z
week,1,Week 1,16,lexile_adjusted,Lexile (published),external,.7474516971635422,.0358206565363638,-1.568061,lexile_published_z
week,2,Week 2,1,lexile_adjusted,Lexile (published),external,.9632269653158982,,-1.568061,lexile_published_z
week,3,Week 3,2,lexile_adjusted,Lexile (published),external,.6514137598353227,.0535714328289032,-1.568061,lexile_published_z
week,4,Week 4,22,lexile_adjusted,Lexile (published),external,.7287327727525823,.028835764280377,-1.473898863636363,lexile_published_z
week,5,Week 5,11,lexile_adjusted,Lexile (published),external,.7429153114309237,.0709621090435537,-1.568061,lexile_published_z
week,6,Week 6,9,lexile_adjusted,Lexile (published),external,.7143105794135993,.0644648245251624,-1.568061,lexile_published_z
week,7,Week 7,2,lexile_adjusted,Lexile (published),external,.3910150395489729,.2000000029802322,.503506,lexile_published_z
week,10,Week 10,1,lexile_adjusted,Lexile (published),external,.6334848609204617,,.891925,lexile_published_z
week,11,Week 11,1,lexile_adjusted,Lexile (published),external,.7334848847623197,,.891925,lexile_published_z
week,12,Week 12,1,lexile_adjusted,Lexile (published),external,.5906277504201261,,.8919249999999999,lexile_published_z
week,13,Week 13,2,lexile_adjusted,Lexile (published),external,.473869493269476,.0096153914928436,.8919249999999999,lexile_published_z
week,14,Week 14,14,lexile_adjusted,Lexile (published),external,.3957066478182926,.0288603148490742,.828973239348371,lexile_published_z
week,15,Week 15,2,lexile_adjusted,Lexile (published),external,.4834848847623197,.0357142686843872,.8919249999999999,lexile_published_z
week,16,Week 16,1,lexile_adjusted,Lexile (published),external,.5906277504201261,,.891925,lexile_published_z
week,17,Week 17,1,lexile_adjusted,Lexile (published),external,1.097842327006419,,-1.568061,lexile_published_z
week,19,Week 19,1,lexile_adjusted,Lexile (published),external,.5978423270064195,,-1.568061,lexile_published_z
week,20,Week 20,3,lexile_adjusted,Lexile (published),external,.7113343887008826,.1328245222265536,-1.568061,lexile_published_z
week,1,Week 1,16,textstat_adjusted,Textstat,external,.7213054388020004,.0358206565363638,-1.847538162520483,textstat_complexity_z
week,2,Week 2,1,textstat_adjusted,Textstat,external,.9317906697226762,,-1.794582452422339,textstat_complexity_z
week,3,Week 3,2,textstat_adjusted,Textstat,external,.5917120662479861,.0429394922737237,-1.511632795088919,textstat_complexity_z
week,4,Week 4,22,textstat_adjusted,Textstat,external,.6795451700118039,.0271805057098323,-1.477270843013504,textstat_complexity_z
week,5,Week 5,11,textstat_adjusted,Textstat,external,.7052378405987089,.0717593249489668,-1.732105412629779,textstat_complexity_z
week,6,Week 6,9,textstat_adjusted,Textstat,external,.6881643210520578,.0644648245251624,-1.847538162520484,textstat_complexity_z
