period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,391,genre_adjusted,Genre-adjusted,controls,.6345410943031311,.0096771775143073,.9525094628334045,V+B+M+literary+fiction
week,2,Week 2,167,genre_adjusted,Genre-adjusted,controls,.5346206426620483,.0151023298321343,.9985090494155884,V+B+M+literary+fiction
week,3,Week 3,148,genre_adjusted,Genre-adjusted,controls,.6000221967697144,.015478222111883,.9859296083450317,V+B+M+literary+fiction
week,4,Week 4,76,genre_adjusted,Genre-adjusted,controls,.6276814341545105,.0194762726251429,.9736841917037964,V+B+M+literary+fiction
week,5,Week 5,92,genre_adjusted,Genre-adjusted,controls,.5672854781150818,.0206924541637025,.9791063070297241,V+B+M+literary+fiction
week,6,Week 6,74,genre_adjusted,Genre-adjusted,controls,.5702018141746521,.0291723459460661,.9975429773330688,V+B+M+literary+fiction
week,7,Week 7,51,genre_adjusted,Genre-adjusted,controls,.5565081238746643,.0291489999053632,.9509803652763367,V+B+M+literary+fiction
week,8,Week 8,62,genre_adjusted,Genre-adjusted,controls,.6011315584182739,.0266532303492562,1,V+B+M+literary+fiction
week,9,Week 9,24,genre_adjusted,Genre-adjusted,controls,.671069324016571,.0422115833300289,.8680555820465088,V+B+M+literary+fiction
week,10,Week 10,45,genre_adjusted,Genre-adjusted,controls,.6196498274803162,.0430827499061114,.3916666805744171,V+B+M+literary+fiction
week,11,Week 11,2,genre_adjusted,Genre-adjusted,controls,.743140697479248,.3559252887869213,.5,V+B+M+literary+fiction
week,12,Week 12,3,genre_adjusted,Genre-adjusted,controls,.5975602865219116,.1279599078722816,.5555555820465088,V+B+M+literary+fiction
week,13,Week 13,14,genre_adjusted,Genre-adjusted,controls,.7355124354362488,.0305424913560973,.0158730167895555,V+B+M+literary+fiction
week,14,Week 14,21,genre_adjusted,Genre-adjusted,controls,.6433939933776855,.0267664722569296,.1634615361690521,V+B+M+literary+fiction
week,15,Week 15,26,genre_adjusted,Genre-adjusted,controls,.7318301796913147,.024865547629981,.8961538672447205,V+B+M+literary+fiction
week,16,Week 16,44,genre_adjusted,Genre-adjusted,controls,.6910262107849121,.0300559265169623,.8181818127632141,V+B+M+literary+fiction
week,17,Week 17,32,genre_adjusted,Genre-adjusted,controls,.5749014616012573,.0383346186478791,.125,V+B+M+literary+fiction
week,18,Week 18,29,genre_adjusted,Genre-adjusted,controls,.7338076233863831,.0294830471385751,0,V+B+M+literary+fiction
week,19,Week 19,35,genre_adjusted,Genre-adjusted,controls,.6055967807769775,.0304633432748475,.1102040782570839,V+B+M+literary+fiction
week,20,Week 20,26,genre_adjusted,Genre-adjusted,controls,.7438249588012695,.0298506055094782,.9846153855323792,V+B+M+literary+fiction
week,21,Week 21,24,genre_adjusted,Genre-adjusted,controls,.6525638699531555,.0501420212175776,.9930555820465088,V+B+M+literary+fiction
week,22,Week 22,10,genre_adjusted,Genre-adjusted,controls,.6240280270576477,.0365710054697457,1,V+B+M+literary+fiction
week,23,Week 23,27,genre_adjusted,Genre-adjusted,controls,.8089385628700256,.0353502415223705,1,V+B+M+literary+fiction
week,24,Week 24,1,genre_adjusted,Genre-adjusted,controls,.9810627102851868,,.6000000238418579,V+B+M+literary+fiction
week,26,Week 26,17,genre_adjusted,Genre-adjusted,controls,.8426242470741272,.0284905758313208,1,V+B+M+literary+fiction
week,1,Week 1,384,atos_adjusted,ATOS (published),external,.6300468936926514,.009860622882498,-1.509005962568533,atos_published_z
week,2,Week 2,167,atos_adjusted,ATOS (published),external,.5304123630311384,.0151164153829709,-1.541266802395215,atos_published_z
week,3,Week 3,142,atos_adjusted,ATOS (published),external,.6004816637168059,.0157503955959051,-1.540474514084511,atos_published_z
week,4,Week 4,76,atos_adjusted,ATOS (published),external,.623022556920794,.0193790744394939,-1.489132328947367,atos_published_z
week,5,Week 5,92,atos_adjusted,ATOS (published),external,.5652240786714059,.0205760803778413,-1.519775239130434,atos_published_z
week,6,Week 6,73,atos_adjusted,ATOS (published),external,.5684209290361149,.0295379139453983,-1.535472027397259,atos_published_z
week,7,Week 7,22,atos_adjusted,ATOS (published),external,.6693602065911602,.0424228748525277,-1.350119988636364,atos_published_z
week,8,Week 8,62,atos_adjusted,ATOS (published),external,.5966980586644349,.0266674171084735,-1.545766999999999,atos_published_z
week,9,Week 9,23,atos_adjusted,ATOS (published),external,.6678876196919395,.0419408148857272,-1.337832913043479,atos_published_z
week,10,Week 10,44,atos_adjusted,ATOS (published),external,.6083500363093702,.0436631967280566,-.239900649350649,atos_published_z
week,11,Week 11,2,atos_adjusted,ATOS (published),external,.7015246602737933,.3009802958631026,.0256205,atos_published_z
week,12,Week 12,3,atos_adjusted,ATOS (published),external,.6147081064666955,.1334220953011126,-.2324817777777777,atos_published_z
week,13,Week 13,14,atos_adjusted,ATOS (published),external,.7504199318568034,.0306742541423131,.8194478730158733,atos_published_z
week,14,Week 14,21,atos_adjusted,ATOS (published),external,.6612687741631753,.0280601971741998,.5696787777777781,atos_published_z
week,15,Week 15,26,atos_adjusted,ATOS (published),external,.7448871626376973,.0249256534410036,-.6239565269230767,atos_published_z
week,16,Week 16,43,atos_adjusted,ATOS (published),external,.6997368102864973,.0293948082704784,-.5273046279069764,atos_published_z
week,17,Week 17,30,atos_adjusted,ATOS (published),external,.6071326763950881,.0395685754001712,.6610077333333336,atos_published_z
week,18,Week 18,8,atos_adjusted,ATOS (published),external,.7319692412125605,.0469531218849001,.8454750000000002,atos_published_z
week,19,Week 19,8,atos_adjusted,ATOS (published),external,.5529208594659973,.051421536460668,-.0512408749999999,atos_published_z
week,20,Week 20,20,atos_adjusted,ATOS (published),external,.7328547085412042,.0353981092481133,-.8864676499999998,atos_published_z
week,21,Week 21,24,atos_adjusted,ATOS (published),external,.6660755050472927,.0501419163302454,-.7828471319444444,atos_published_z
week,22,Week 22,7,atos_adjusted,ATOS (published),external,.6261396002352756,.0471921410436763,-.7942340000000001,atos_published_z
week,23,Week 23,13,atos_adjusted,ATOS (published),external,.7996358884200703,.0593542563488764,-.8391975128205129,atos_published_z
week,24,Week 24,1,atos_adjusted,ATOS (published),external,1.001328597524894,,-.1383504,atos_published_z
week,1,Week 1,391,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6308342743342892,.0097541523306678,.4170288281141529,lc_sentstr_complexity_z
week,2,Week 2,167,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5301885241900615,.0151307998333391,.4163805221284819,lc_sentstr_complexity_z
week,3,Week 3,148,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5962196088622252,.0155785281302158,.4057074615207997,lc_sentstr_complexity_z
week,4,Week 4,76,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6226307133110434,.0193688574462831,.4170288281141508,lc_sentstr_complexity_z
week,5,Week 5,92,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5694680466218756,.0208390033550365,.3888113883857745,lc_sentstr_complexity_z
week,6,Week 6,74,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5674379659247851,.029150115154026,.4101125023407589,lc_sentstr_complexity_z
week,7,Week 7,51,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5466866279930587,.0295262091063811,.4124292454511267,lc_sentstr_complexity_z
week,8,Week 8,62,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5963739330491902,.0266674171084735,.4170288281141506,lc_sentstr_complexity_z
week,9,Week 9,24,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6760013229703133,.0392787428226298,.3974806017962993,lc_sentstr_complexity_z
week,10,Week 10,45,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6151946467980457,.0434860312832283,.4170288281141502,lc_sentstr_complexity_z
week,11,Week 11,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6993216288909024,.2999999970197678,.4170288281141502,lc_sentstr_complexity_z
week,12,Week 12,3,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6128136876051333,.1328245222265536,.4170288281141502,lc_sentstr_complexity_z
week,13,Week 13,14,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.747267722228779,.0306809014580171,.4170288281141502,lc_sentstr_complexity_z
week,14,Week 14,21,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6584152130821342,.0281000902615598,.41702882811415,lc_sentstr_complexity_z
week,15,Week 15,26,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7434608295691413,.024923476311091,.41702882811415,lc_sentstr_complexity_z
week,16,Week 16,44,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7050386996641469,.0295422310993953,.4170288281141502,lc_sentstr_complexity_z
week,17,Week 17,32,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6050387708171915,.0379868348386604,.41702882811415,lc_sentstr_complexity_z
week,18,Week 18,29,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7522772917867961,.03252656578619,.41702882811415,lc_sentstr_complexity_z
week,19,Week 19,35,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6903779926110483,.0311363824704197,.4055392583599847,lc_sentstr_complexity_z
week,20,Week 20,26,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7300298066224902,.0292693140313575,.41702882811415,lc_sentstr_complexity_z
week,21,Week 21,24,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6648391572460245,.0501419009149833,.41702882811415,lc_sentstr_complexity_z
week,22,Week 22,10,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5955716294869489,.0402821817975869,.4170288281141502,lc_sentstr_complexity_z
week,23,Week 23,27,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7871817048547709,.035389565766445,.41702882811415,lc_sentstr_complexity_z
week,24,Week 24,1,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.9993216259106702,,.4170288281141502,lc_sentstr_complexity_z
week,26,Week 26,17,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.7903453922039156,.0284905749587446,.4170288281141501,lc_sentstr_complexity_z
week,1,Week 1,391,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.6307147770992049,.009756075131316,-.4535098246324935,lc_vocab_complexity_z
week,2,Week 2,167,lc_vocab_adjusted,CZI Vocabulary (Claude-run),external,.5298390934450725,.0151159843095097,-.4646607339703081,lc_vocab_complexity_z
