period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,1,Week 1,17,genre_adjusted,Genre-adjusted,controls,.6195130348205566,.9411764740943909,V+B+M+literary+fiction
week,2,Week 2,11,genre_adjusted,Genre-adjusted,controls,.6082649230957031,1,V+B+M+literary+fiction
week,3,Week 3,4,genre_adjusted,Genre-adjusted,controls,.8283896446228027,1,V+B+M+literary+fiction
week,4,Week 4,18,genre_adjusted,Genre-adjusted,controls,.8517987132072449,1,V+B+M+literary+fiction
week,5,Week 5,9,genre_adjusted,Genre-adjusted,controls,.7519620060920715,1,V+B+M+literary+fiction
week,6,Week 6,9,genre_adjusted,Genre-adjusted,controls,.7505959272384644,.9256822466850281,V+B+M+literary+fiction
week,7,Week 7,15,genre_adjusted,Genre-adjusted,controls,.8198601603507996,.8320998549461365,V+B+M+literary+fiction
week,8,Week 8,6,genre_adjusted,Genre-adjusted,controls,.5914456844329834,.5722756385803223,V+B+M+literary+fiction
week,22,Week 22,1,genre_adjusted,Genre-adjusted,controls,.0529204234480858,0,V+B+M+literary+fiction
week,25,Week 25,5,genre_adjusted,Genre-adjusted,controls,.2251426428556442,0,V+B+M+literary+fiction
week,26,Week 26,19,genre_adjusted,Genre-adjusted,controls,.2491192519664764,0,V+B+M+literary+fiction
week,1,Week 1,16,atos_adjusted,ATOS (published),external,.5431547625921667,-.7942339999999999,atos_published_z
week,2,Week 2,11,atos_adjusted,ATOS (published),external,.5257575755769556,-.7942340000000001,atos_published_z
week,3,Week 3,3,atos_adjusted,ATOS (published),external,.738095243771871,-.7942339999999999,atos_published_z
week,4,Week 4,16,atos_adjusted,ATOS (published),external,.7518866509199142,-.7942339999999999,atos_published_z
week,5,Week 5,4,atos_adjusted,ATOS (published),external,.5504419207572937,-.7942340000000001,atos_published_z
week,7,Week 7,1,atos_adjusted,ATOS (published),external,.8478260636329651,-.794234,atos_published_z
week,8,Week 8,1,atos_adjusted,ATOS (published),external,.5555555820465088,-.794234,atos_published_z
week,1,Week 1,17,clear_adjusted,CLEAR,external,.6127256611204172,-1.512548715686275,clear_complexity_z
week,2,Week 2,11,clear_adjusted,CLEAR,external,.6142996316010465,-1.737912,clear_complexity_z
week,3,Week 3,4,clear_adjusted,CLEAR,external,.8149842478096113,-1.5759145,clear_complexity_z
week,4,Week 4,18,clear_adjusted,CLEAR,external,.8491933878487934,-1.665913111111112,clear_complexity_z
week,5,Week 5,9,clear_adjusted,CLEAR,external,.7137165787122913,-1.368917694444444,clear_complexity_z
week,6,Week 6,9,clear_adjusted,CLEAR,external,.6886273816860606,-1.031817490984405,clear_complexity_z
week,7,Week 7,15,clear_adjusted,CLEAR,external,.7859130325842705,-.9850689853667105,clear_complexity_z
week,8,Week 8,6,clear_adjusted,CLEAR,external,.5628384306891822,-.8250715034009971,clear_complexity_z
week,22,Week 22,1,clear_adjusted,CLEAR,external,.1222123089998553,-.2503000000000001,clear_complexity_z
