period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,31,raw_strict,Raw weekly average,observed,0.52491,0.05233,,
week,4,Week 4,33,raw_strict,Raw weekly average,observed,0.427948,0.052669,,
week,5,Week 5,19,raw_strict,Raw weekly average,observed,0.521178,0.089275,,
week,6,Week 6,22,raw_strict,Raw weekly average,observed,0.280567,0.062044,,
week,7,Week 7,17,raw_strict,Raw weekly average,observed,0.240196,0.073335,,
week,8,Week 8,10,raw_strict,Raw weekly average,observed,0.778571,0.043187,,
week,9,Week 9,26,raw_strict,Raw weekly average,observed,0.477564,0.06689,,
week,11,Week 11,12,raw_strict,Raw weekly average,observed,0.527778,0.144823,,
week,15,Week 15,17,raw_strict,Raw weekly average,observed,0.280966,0.080133,,
week,1,Week 1,31,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.508711,0.05233,-0.7843,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,33,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.406388,0.052468,-1.0438,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.502216,0.089296,-0.9181,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,22,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.264878,0.062258,-0.7596,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.29215,0.073812,2.5153,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,10,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.838408,0.043187,2.8969,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,26,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.509305,0.06689,1.5367,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,12,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.55883,0.144823,1.5034,"universal beta (pooled student+month FE, strict correct)"
week,15,Week 15,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.305072,0.079759,1.1671,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,31,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.528627,0.05233,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,33,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.429003,0.053019,0.043,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,19,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.520173,0.089625,-0.0409,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,22,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.272696,0.061839,-0.3207,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,17,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.276014,0.074243,1.4597,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,10,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.819666,0.043187,1.6747,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,26,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.518658,0.06689,1.6747,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,12,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.531495,0.144823,0.1515,"universal beta (pooled student+month FE, strict correct)"
