period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,17,raw_strict,Raw weekly average,observed,0.270588,0.06883,,
week,2,Week 2,15,raw_strict,Raw weekly average,observed,0.488095,0.035714,,
week,3,Week 3,27,raw_strict,Raw weekly average,observed,0.171212,0.040547,,
week,4,Week 4,19,raw_strict,Raw weekly average,observed,0.39386,0.057749,,
week,8,Week 8,18,raw_strict,Raw weekly average,observed,0.508333,0.081256,,
week,9,Week 9,14,raw_strict,Raw weekly average,observed,0.267857,0.112612,,
week,10,Week 10,20,raw_strict,Raw weekly average,observed,0.472857,0.064621,,
week,14,Week 14,4,raw_strict,Raw weekly average,observed,0.333333,0.235702,,
week,18,Week 18,18,raw_strict,Raw weekly average,observed,0.338754,0.079054,,
week,1,Week 1,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.287906,0.067938,0.8384,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,15,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.469459,0.035719,-0.9023,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,27,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.155283,0.040623,-0.7711,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.376618,0.057731,-0.8347,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,18,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.487156,0.081256,-1.0253,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,14,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.24665,0.112612,-1.0267,"universal beta (pooled student+month FE, strict correct)"
week,10,Week 10,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.480732,0.064704,0.3813,"universal beta (pooled student+month FE, strict correct)"
week,14,Week 14,4,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.364385,0.235702,1.5034,"universal beta (pooled student+month FE, strict correct)"
week,18,Week 18,18,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.359244,0.079121,0.992,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,17,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.283023,0.067875,0.5296,"universal beta (pooled student+month FE, strict correct)"
