period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,19,raw_strict,Raw weekly average,observed,0.473684,0.081234,,
week,3,Week 3,5,raw_strict,Raw weekly average,observed,0.45,0.104083,,
week,4,Week 4,17,raw_strict,Raw weekly average,observed,0.344363,0.048943,,
week,5,Week 5,7,raw_strict,Raw weekly average,observed,0.157967,0.070154,,
week,6,Week 6,3,raw_strict,Raw weekly average,observed,0.190476,0.095238,,
week,9,Week 9,13,raw_strict,Raw weekly average,observed,0.483502,0.074455,,
week,10,Week 10,8,raw_strict,Raw weekly average,observed,0.441071,0.077846,,
week,11,Week 11,8,raw_strict,Raw weekly average,observed,0.022727,0.022727,,
week,19,Week 19,10,raw_strict,Raw weekly average,observed,0.216154,0.06756,,
week,20,Week 20,4,raw_strict,Raw weekly average,observed,0.683333,0.183333,,
week,23,Week 23,3,raw_strict,Raw weekly average,observed,0.0,0.0,,
week,24,Week 24,15,raw_strict,Raw weekly average,observed,0.344979,0.079242,,
week,25,Week 25,3,raw_strict,Raw weekly average,observed,0.531746,0.246032,,
week,30,Week 30,19,raw_strict,Raw weekly average,observed,0.251462,0.033702,,
week,1,Week 1,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.463128,0.08116,-0.5111,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,5,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.445832,0.104083,-0.2018,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.337935,0.048101,-0.3112,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,7,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.144502,0.070085,-0.6519,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,3,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.183527,0.095238,-0.3364,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,13,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.463688,0.074374,-0.9593,"universal beta (pooled student+month FE, strict correct)"
week,10,Week 10,8,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.434902,0.077846,-0.2987,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,8,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.000789,0.022727,-1.0621,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,10,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.209922,0.066495,-0.3017,"universal beta (pooled student+month FE, strict correct)"
week,20,Week 20,4,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.659356,0.182376,-1.1609,"universal beta (pooled student+month FE, strict correct)"
week,23,Week 23,3,adj_textstat_fe,"Adjusted — textstat, universal β",external,-0.008919,0.001677,-0.4318,"universal beta (pooled student+month FE, strict correct)"
week,24,Week 24,15,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.382251,0.076022,1.8045,"universal beta (pooled student+month FE, strict correct)"
week,25,Week 25,3,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.587514,0.242164,2.7,"universal beta (pooled student+month FE, strict correct)"
week,30,Week 30,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.261294,0.033702,0.476,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,19,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.477401,0.081234,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,5,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.491094,0.104083,1.6747,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,17,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.332588,0.047459,-0.4799,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,7,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.158809,0.069714,0.0343,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,3,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.156816,0.095238,-1.3718,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,13,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.504967,0.075122,0.8748,"universal beta (pooled student+month FE, strict correct)"
week,10,Week 10,8,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.407411,0.077846,-1.3718,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,8,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.047273,0.022727,1.0003,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,10,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.213933,0.067049,-0.0905,"universal beta (pooled student+month FE, strict correct)"
week,20,Week 20,4,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.683312,0.185287,-0.0008,"universal beta (pooled student+month FE, strict correct)"
week,23,Week 23,3,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.003717,0.0,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,24,Week 24,15,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.381916,0.078221,1.5053,"universal beta (pooled student+month FE, strict correct)"
week,25,Week 25,3,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.57284,0.246032,1.6747,"universal beta (pooled student+month FE, strict correct)"
week,30,Week 30,19,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.217801,0.033702,-1.3718,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,19,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.448292,0.081057,-0.5111,"class-specific beta (within-class student+month FE, strict correct)"
week,3,Week 3,5,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.439976,0.104083,-0.2018,"class-specific beta (within-class student+month FE, strict correct)"
week,4,Week 4,17,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.328902,0.04698,-0.3112,"class-specific beta (within-class student+month FE, strict correct)"
week,5,Week 5,7,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.125578,0.070008,-0.6519,"class-specific beta (within-class student+month FE, strict correct)"
week,6,Week 6,3,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.173761,0.095238,-0.3364,"class-specific beta (within-class student+month FE, strict correct)"
week,9,Week 9,13,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.435844,0.074289,-0.9593,"class-specific beta (within-class student+month FE, strict correct)"
week,10,Week 10,8,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.426233,0.077846,-0.2987,"class-specific beta (within-class student+month FE, strict correct)"
week,11,Week 11,8,adj_textstat_class,"Adjusted — textstat, class-specific β",external,-0.03004,0.022727,-1.0621,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,10,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.201165,0.065607,-0.3017,"class-specific beta (within-class student+month FE, strict correct)"
week,20,Week 20,4,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.625659,0.181038,-1.1609,"class-specific beta (within-class student+month FE, strict correct)"
week,23,Week 23,3,adj_textstat_class,"Adjusted — textstat, class-specific β",external,-0.021454,0.004034,-0.4318,"class-specific beta (within-class student+month FE, strict correct)"
week,24,Week 24,15,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.43463,0.072154,1.8045,"class-specific beta (within-class student+month FE, strict correct)"
week,25,Week 25,3,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.665886,0.236739,2.7,"class-specific beta (within-class student+month FE, strict correct)"
week,30,Week 30,19,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.275112,0.033702,0.476,"class-specific beta (within-class student+month FE, strict correct)"
week,1,Week 1,19,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.482962,0.081234,0.1515,"class-specific beta (within-class student+month FE, strict correct)"
week,3,Week 3,5,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.552572,0.104083,1.6747,"class-specific beta (within-class student+month FE, strict correct)"
week,4,Week 4,17,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.314973,0.045698,-0.4799,"class-specific beta (within-class student+month FE, strict correct)"
week,5,Week 5,7,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.160068,0.069274,0.0343,"class-specific beta (within-class student+month FE, strict correct)"
week,6,Week 6,3,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.106459,0.095238,-1.3718,"class-specific beta (within-class student+month FE, strict correct)"
week,9,Week 9,13,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.537079,0.076187,0.8748,"class-specific beta (within-class student+month FE, strict correct)"
week,10,Week 10,8,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.357054,0.077846,-1.3718,"class-specific beta (within-class student+month FE, strict correct)"
week,11,Week 11,8,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.083995,0.022727,1.0003,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,10,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.210612,0.068234,-0.0905,"class-specific beta (within-class student+month FE, strict correct)"
week,20,Week 20,4,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.683281,0.188309,-0.0008,"class-specific beta (within-class student+month FE, strict correct)"
week,23,Week 23,3,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.009277,0.0,0.1515,"class-specific beta (within-class student+month FE, strict correct)"
week,24,Week 24,15,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.437175,0.076838,1.5053,"class-specific beta (within-class student+month FE, strict correct)"
week,25,Week 25,3,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.634318,0.246032,1.6747,"class-specific beta (within-class student+month FE, strict correct)"
week,30,Week 30,19,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.167445,0.033702,-1.3718,"class-specific beta (within-class student+month FE, strict correct)"
