period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,25,raw_strict,Raw weekly average,observed,0.335601,0.049214,,
week,2,Week 2,29,raw_strict,Raw weekly average,observed,0.394573,0.035244,,
week,3,Week 3,29,raw_strict,Raw weekly average,observed,0.361364,0.035788,,
week,4,Week 4,28,raw_strict,Raw weekly average,observed,0.371745,0.032955,,
week,5,Week 5,29,raw_strict,Raw weekly average,observed,0.35923,0.030867,,
week,6,Week 6,28,raw_strict,Raw weekly average,observed,0.40039,0.053544,,
week,7,Week 7,28,raw_strict,Raw weekly average,observed,0.447415,0.026257,,
week,8,Week 8,28,raw_strict,Raw weekly average,observed,0.212159,0.025072,,
week,9,Week 9,26,raw_strict,Raw weekly average,observed,0.494787,0.061241,,
week,10,Week 10,28,raw_strict,Raw weekly average,observed,0.467442,0.025495,,
week,11,Week 11,28,raw_strict,Raw weekly average,observed,0.373204,0.036403,,
week,12,Week 12,27,raw_strict,Raw weekly average,observed,0.366314,0.040009,,
week,13,Week 13,25,raw_strict,Raw weekly average,observed,0.371799,0.033999,,
week,14,Week 14,24,raw_strict,Raw weekly average,observed,0.444468,0.040589,,
week,15,Week 15,25,raw_strict,Raw weekly average,observed,0.440408,0.050183,,
week,18,Week 18,27,raw_strict,Raw weekly average,observed,0.502116,0.04293,,
week,20,Week 20,21,raw_strict,Raw weekly average,observed,0.456803,0.067327,,
week,21,Week 21,27,raw_strict,Raw weekly average,observed,0.407867,0.033766,,
week,22,Week 22,27,raw_strict,Raw weekly average,observed,0.581018,0.027918,,
week,23,Week 23,28,raw_strict,Raw weekly average,observed,0.508239,0.029845,,
week,25,Week 25,27,raw_strict,Raw weekly average,observed,0.498857,0.042062,,
week,26,Week 26,26,raw_strict,Raw weekly average,observed,0.473428,0.038949,,
week,27,Week 27,26,raw_strict,Raw weekly average,observed,0.312258,0.030277,,
week,33,Week 33,29,raw_strict,Raw weekly average,observed,0.541632,0.028437,,
week,34,Week 34,29,raw_strict,Raw weekly average,observed,0.439709,0.036931,,
week,35,Week 35,29,raw_strict,Raw weekly average,observed,0.56944,0.043347,,
week,36,Week 36,29,raw_strict,Raw weekly average,observed,0.544171,0.026382,,
week,37,Week 37,30,raw_strict,Raw weekly average,observed,0.55119,0.023433,,
week,38,Week 38,30,raw_strict,Raw weekly average,observed,0.460732,0.039543,,
week,39,Week 39,28,raw_strict,Raw weekly average,observed,0.370026,0.051598,,
week,40,Week 40,30,raw_strict,Raw weekly average,observed,0.199233,0.014988,,
week,1,Week 1,25,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.320064,0.049208,-0.7522,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,29,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.38778,0.034654,-0.3289,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,29,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.34325,0.035776,-0.877,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,28,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.35545,0.032951,-0.7889,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,29,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.355904,0.030883,-0.161,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,28,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.380626,0.053571,-0.9569,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,28,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.434373,0.026227,-0.6314,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,28,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.210103,0.025394,-0.0995,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,26,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.473636,0.061242,-1.024,"universal beta (pooled student+month FE, strict correct)"
week,10,Week 10,28,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.454688,0.02548,-0.6175,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,28,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.36145,0.036355,-0.5691,"universal beta (pooled student+month FE, strict correct)"
week,12,Week 12,27,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.361896,0.040018,-0.2139,"universal beta (pooled student+month FE, strict correct)"
week,13,Week 13,25,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.367943,0.034189,-0.1867,"universal beta (pooled student+month FE, strict correct)"
week,14,Week 14,24,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.436626,0.040295,-0.3797,"universal beta (pooled student+month FE, strict correct)"
week,15,Week 15,25,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.459057,0.050087,0.9029,"universal beta (pooled student+month FE, strict correct)"
week,18,Week 18,27,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.486171,0.042924,-0.772,"universal beta (pooled student+month FE, strict correct)"
