period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,20,raw_strict,Raw weekly average,observed,0.645238,0.054981,,
week,5,Week 5,19,raw_strict,Raw weekly average,observed,0.413534,0.034364,,
week,6,Week 6,22,raw_strict,Raw weekly average,observed,0.535563,0.044455,,
week,7,Week 7,20,raw_strict,Raw weekly average,observed,0.598214,0.04524,,
week,8,Week 8,19,raw_strict,Raw weekly average,observed,0.535088,0.050564,,
week,10,Week 10,22,raw_strict,Raw weekly average,observed,0.467413,0.035327,,
week,11,Week 11,13,raw_strict,Raw weekly average,observed,0.485897,0.070908,,
week,13,Week 13,21,raw_strict,Raw weekly average,observed,0.462812,0.060852,,
week,14,Week 14,19,raw_strict,Raw weekly average,observed,0.424561,0.065178,,
week,17,Week 17,21,raw_strict,Raw weekly average,observed,0.54233,0.056392,,
week,18,Week 18,20,raw_strict,Raw weekly average,observed,0.502976,0.065754,,
week,19,Week 19,22,raw_strict,Raw weekly average,observed,0.785714,0.051291,,
week,22,Week 22,21,raw_strict,Raw weekly average,observed,0.350208,0.044988,,
week,23,Week 23,15,raw_strict,Raw weekly average,observed,0.661111,0.05423,,
week,24,Week 24,19,raw_strict,Raw weekly average,observed,0.782456,0.042049,,
week,26,Week 26,19,raw_strict,Raw weekly average,observed,0.560526,0.075909,,
week,27,Week 27,20,raw_strict,Raw weekly average,observed,0.702976,0.058548,,
week,1,Week 1,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.626593,0.054981,-0.9027,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.397463,0.034364,-0.7781,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,22,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.524326,0.04465,-0.544,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.577008,0.04524,-1.0267,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.524302,0.050564,-0.5222,"universal beta (pooled student+month FE, strict correct)"
week,10,Week 10,22,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.508074,0.036055,1.9686,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,13,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.514244,0.069591,1.3724,"universal beta (pooled student+month FE, strict correct)"
week,13,Week 13,21,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.488431,0.060852,1.2403,"universal beta (pooled student+month FE, strict correct)"
week,14,Week 14,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.442674,0.065178,0.8769,"universal beta (pooled student+month FE, strict correct)"
week,17,Week 17,21,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.575411,0.05642,1.6016,"universal beta (pooled student+month FE, strict correct)"
week,18,Week 18,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.52739,0.065754,1.182,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,22,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.776593,0.051349,-0.4416,"universal beta (pooled student+month FE, strict correct)"
week,22,Week 22,21,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.345864,0.045014,-0.2103,"universal beta (pooled student+month FE, strict correct)"
