period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,10,raw_strict,Raw weekly average,observed,0.67,0.063333,,
week,2,Week 2,10,raw_strict,Raw weekly average,observed,0.431014,0.041971,,
week,8,Week 8,9,raw_strict,Raw weekly average,observed,0.185185,0.070077,,
week,9,Week 9,7,raw_strict,Raw weekly average,observed,0.32619,0.107881,,
week,1,Week 1,10,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.686694,0.063333,0.8082,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,10,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.416782,0.04198,-0.6891,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,9,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.211375,0.070077,1.268,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,7,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.343911,0.107881,0.8579,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,10,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.685541,0.063333,0.6618,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,10,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.422312,0.041971,-0.3706,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,9,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.203419,0.070077,0.7765,"universal beta (pooled student+month FE, strict correct)"
week,9,Week 9,7,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.334997,0.107881,0.375,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,10,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.547493,0.063333,0.8082,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,10,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.535457,0.041904,-0.6891,"class-specific beta (within-class student+month FE, strict correct)"
week,8,Week 8,9,adj_textstat_class,"Adjusted — textstat, class-specific β",external,-0.007005,0.070077,1.268,"class-specific beta (within-class student+month FE, strict correct)"
week,9,Week 9,7,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.196153,0.107881,0.8579,"class-specific beta (within-class student+month FE, strict correct)"
week,1,Week 1,10,adj_czi_class,"Adjusted — CZI Lexile-like, class-specific β",external,0.531462,0.063333,0.6618,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,10,adj_czi_class,"Adjusted — CZI Lexile-like, class-specific β",external,0.508585,0.041971,-0.3706,"class-specific beta (within-class student+month FE, strict correct)"
week,8,Week 8,9,adj_czi_class,"Adjusted — CZI Lexile-like, class-specific β",external,0.022635,0.070077,0.7765,"class-specific beta (within-class student+month FE, strict correct)"
week,9,Week 9,7,adj_czi_class,"Adjusted — CZI Lexile-like, class-specific β",external,0.247683,0.107881,0.375,"class-specific beta (within-class student+month FE, strict correct)"
