period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,23,raw_strict,Raw weekly average,observed,0.345321,0.042768,,
week,4,Week 4,24,raw_strict,Raw weekly average,observed,0.472346,0.038243,,
week,5,Week 5,21,raw_strict,Raw weekly average,observed,0.426118,0.078818,,
week,6,Week 6,17,raw_strict,Raw weekly average,observed,0.451843,0.066602,,
week,7,Week 7,17,raw_strict,Raw weekly average,observed,0.499378,0.071666,,
week,8,Week 8,9,raw_strict,Raw weekly average,observed,0.44709,0.106111,,
week,11,Week 11,22,raw_strict,Raw weekly average,observed,0.220034,0.053979,,
week,14,Week 14,24,raw_strict,Raw weekly average,observed,0.416961,0.052885,,
week,15,Week 15,12,raw_strict,Raw weekly average,observed,0.511525,0.061587,,
week,20,Week 20,15,raw_strict,Raw weekly average,observed,0.469509,0.076346,,
week,1,Week 1,23,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.328959,0.04273,-0.7921,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,24,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.458431,0.038571,-0.6737,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,21,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.410472,0.079113,-0.7575,"universal beta (pooled student+month FE, strict correct)"
week,6,Week 6,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.444705,0.06761,-0.3456,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.515168,0.072274,0.7645,"universal beta (pooled student+month FE, strict correct)"
week,8,Week 8,9,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.489072,0.106982,2.0326,"universal beta (pooled student+month FE, strict correct)"
week,11,Week 11,22,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.249404,0.053842,1.4219,"universal beta (pooled student+month FE, strict correct)"
week,14,Week 14,24,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.441876,0.052363,1.2062,"universal beta (pooled student+month FE, strict correct)"
week,15,Week 15,12,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.53285,0.060907,1.0324,"universal beta (pooled student+month FE, strict correct)"
week,20,Week 20,15,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.460942,0.076113,-0.4148,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,23,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.326001,0.042778,-0.8228,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,24,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.45694,0.038757,-0.656,"universal beta (pooled student+month FE, strict correct)"
week,5,Week 5,21,adj_czi_fe,"Adjusted — CZI Lexile-like, universal β",external,0.406921,0.078961,-0.8175,"universal beta (pooled student+month FE, strict correct)"
