period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,19,raw_strict,Raw weekly average,observed,0.435338,0.038757,,
week,2,Week 2,12,raw_strict,Raw weekly average,observed,0.130952,0.051141,,
week,18,Week 18,9,raw_strict,Raw weekly average,observed,0.337037,0.138382,,
week,19,Week 19,18,raw_strict,Raw weekly average,observed,0.462963,0.071255,,
week,1,Week 1,19,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.412128,0.038757,-1.1237,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,12,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.114881,0.051141,-0.7781,"universal beta (pooled student+month FE, strict correct)"
week,18,Week 18,9,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.368778,0.138382,1.5367,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,18,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.483504,0.071255,0.9945,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,19,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.439055,0.038757,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,12,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.134669,0.051141,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,18,Week 18,9,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.378131,0.138382,1.6747,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,18,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.429302,0.071255,-1.3718,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,19,adj_textstat_class,"Adjusted — textstat, class-specific β",external,-0.185071,0.038757,-1.1237,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,12,adj_textstat_class,"Adjusted — textstat, class-specific β",external,-0.298628,0.051141,-0.7781,"class-specific beta (within-class student+month FE, strict correct)"
week,18,Week 18,9,adj_textstat_class,"Adjusted — textstat, class-specific β",external,1.185465,0.138382,1.5367,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,18,adj_textstat_class,"Adjusted — textstat, class-specific β",external,1.012041,0.071255,0.9945,"class-specific beta (within-class student+month FE, strict correct)"
week,1,Week 1,19,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.446207,0.038757,0.1515,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,12,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.141821,0.051141,0.1515,"class-specific beta (within-class student+month FE, strict correct)"
week,18,Week 18,9,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.4572,0.138382,1.6747,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,18,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.364537,0.071255,-1.3718,"class-specific beta (within-class student+month FE, strict correct)"
