period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,20,raw_strict,Raw weekly average,observed,0.324167,0.044846,,
week,2,Week 2,16,raw_strict,Raw weekly average,observed,0.191518,0.061626,,
week,19,Week 19,20,raw_strict,Raw weekly average,observed,0.505833,0.073082,,
week,1,Week 1,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.300957,0.044846,-1.1237,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,16,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.175447,0.061626,-0.7781,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,20,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.526375,0.073082,0.9945,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,20,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.327884,0.044846,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,16,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.195235,0.061626,0.1515,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,20,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.472173,0.073082,-1.3718,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,20,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.168963,0.044846,-1.1237,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,16,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.084052,0.061626,-0.7781,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,20,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.643193,0.073082,0.9945,"class-specific beta (within-class student+month FE, strict correct)"
