period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,9,raw_strict,Raw weekly average,observed,0.330928,0.049071,,
week,2,Week 2,13,raw_strict,Raw weekly average,observed,0.511264,0.065037,,
week,3,Week 3,17,raw_strict,Raw weekly average,observed,0.494438,0.04074,,
week,4,Week 4,21,raw_strict,Raw weekly average,observed,0.477446,0.031729,,
week,7,Week 7,14,raw_strict,Raw weekly average,observed,0.297619,0.113468,,
week,19,Week 19,18,raw_strict,Raw weekly average,observed,0.381415,0.04049,,
week,1,Week 1,9,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.319993,0.048994,-0.5294,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,13,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.501327,0.06441,-0.4811,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,17,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.486168,0.040479,-0.4004,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,21,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.459281,0.031744,-0.8794,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,14,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.275323,0.113287,-1.0795,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,18,adj_textstat_fe,"Adjusted — textstat, universal β",external,0.401902,0.04119,0.9919,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,9,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.300342,0.049571,-1.2465,"universal beta (pooled student+month FE, strict correct)"
week,2,Week 2,13,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.516418,0.065425,0.2101,"universal beta (pooled student+month FE, strict correct)"
week,3,Week 3,17,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.522112,0.041847,1.1278,"universal beta (pooled student+month FE, strict correct)"
week,4,Week 4,21,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.444998,0.031893,-1.3223,"universal beta (pooled student+month FE, strict correct)"
week,7,Week 7,14,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.298666,0.114037,0.0427,"universal beta (pooled student+month FE, strict correct)"
week,19,Week 19,18,adj_lcvocab_fe,"Adjusted — LC vocabulary (CZI evaluator), universal β",external,0.387209,0.041112,0.2361,"universal beta (pooled student+month FE, strict correct)"
week,1,Week 1,9,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.339976,0.049136,-0.5294,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,13,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.519485,0.065637,-0.4811,"class-specific beta (within-class student+month FE, strict correct)"
week,3,Week 3,17,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.501281,0.041106,-0.4004,"class-specific beta (within-class student+month FE, strict correct)"
week,4,Week 4,21,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.492474,0.031718,-0.8794,"class-specific beta (within-class student+month FE, strict correct)"
week,7,Week 7,14,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.316066,0.113623,-1.0795,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,18,adj_textstat_class,"Adjusted — textstat, class-specific β",external,0.364465,0.040004,0.9919,"class-specific beta (within-class student+month FE, strict correct)"
week,1,Week 1,9,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.360833,0.048664,-1.2465,"class-specific beta (within-class student+month FE, strict correct)"
week,2,Week 2,13,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.506224,0.064685,0.2101,"class-specific beta (within-class student+month FE, strict correct)"
week,3,Week 3,17,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.467381,0.039957,1.1278,"class-specific beta (within-class student+month FE, strict correct)"
week,4,Week 4,21,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.50917,0.031586,-1.3223,"class-specific beta (within-class student+month FE, strict correct)"
week,7,Week 7,14,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.296595,0.11297,0.0427,"class-specific beta (within-class student+month FE, strict correct)"
week,19,Week 19,18,adj_lcvocab_class,"Adjusted — LC vocabulary (CZI evaluator), class-specific β",external,0.375751,0.039977,0.2361,"class-specific beta (within-class student+month FE, strict correct)"
