period_type,period,period_label,n_students,series_id,series_label,series_group,score,score_se,mean_difficulty,terms
week,1,Week 1,20,genre_adjusted,Genre-adjusted,controls,-.1285435557365417,.0298961151819626,.9700000286102295,V+B+M+literary+fiction
week,2,Week 2,13,genre_adjusted,Genre-adjusted,controls,-.1431773751974106,.0559969532274381,.9838056564331055,V+B+M+literary+fiction
week,3,Week 3,8,genre_adjusted,Genre-adjusted,controls,-.0725291892886162,.0208958701193827,.9807692170143127,V+B+M+literary+fiction
week,4,Week 4,8,genre_adjusted,Genre-adjusted,controls,-.1588904857635498,.0622813621537078,1,V+B+M+literary+fiction
week,5,Week 5,2,genre_adjusted,Genre-adjusted,controls,-.1672238409519196,.2999999822216641,1,V+B+M+literary+fiction
week,16,Week 16,3,genre_adjusted,Genre-adjusted,controls,3.302537441253662,.1196176703874604,0,V+B+M+literary+fiction
week,17,Week 17,7,genre_adjusted,Genre-adjusted,controls,3.313251733779907,.0634078549036589,0,V+B+M+literary+fiction
week,19,Week 19,4,genre_adjusted,Genre-adjusted,controls,3.383489847183228,.0976481214165688,0,V+B+M+literary+fiction
week,1,Week 1,20,atos_adjusted,ATOS (published),external,.6383088976144791,.0298873773235897,-1.545767000000001,atos_published_z
week,2,Week 2,13,atos_adjusted,ATOS (published),external,.6238459875950446,.0560099876728687,-1.545767,atos_published_z
week,3,Week 3,8,atos_adjusted,ATOS (published),external,.694456584751606,.0208980113339444,-1.545767,atos_published_z
week,4,Week 4,8,atos_adjusted,ATOS (published),external,.6083333417773247,.0622813618983394,-1.545767,atos_published_z
week,5,Week 5,2,atos_adjusted,ATOS (published),external,.5999999940395355,.2999999821186066,-1.545767,atos_published_z
week,16,Week 16,3,atos_adjusted,ATOS (published),external,.4952380955219269,.1196176756043302,.8454750000000001,atos_published_z
week,17,Week 17,7,atos_adjusted,ATOS (published),external,.5229591876268387,.0656489759773044,.8454750000000002,atos_published_z
week,19,Week 19,3,atos_adjusted,ATOS (published),external,.5761904915173849,.1380952397982279,.8454750000000001,atos_published_z
week,1,Week 1,20,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6383088976144791,.0298873773235897,.41702882811415,lc_sentstr_complexity_z
week,2,Week 2,13,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6238459875950446,.0560099876728687,.4170288281141502,lc_sentstr_complexity_z
week,3,Week 3,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.694456584751606,.0208980113339444,.4170288281141503,lc_sentstr_complexity_z
week,4,Week 4,8,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.6083333417773247,.0622813618983394,.4170288281141502,lc_sentstr_complexity_z
week,5,Week 5,2,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5999999940395355,.2999999821186066,.4170288281141502,lc_sentstr_complexity_z
week,16,Week 16,3,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.4952380955219269,.1196176756043302,.4170288281141502,lc_sentstr_complexity_z
week,17,Week 17,7,lc_sentstr_adjusted,CZI Sentence Structure (Claude-run),external,.5229591876268387,.0656489759773044,.4170288281141502,lc_sentstr_complexity_z
