period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
month,1,Month 1,34,genre_adjusted,Genre-adjusted,controls,0.5183681911836164,0.8541121706601864,V+B+M+literary+fiction
month,2,Month 2,31,genre_adjusted,Genre-adjusted,controls,0.5114262947256217,0.8332505797934198,V+B+M+literary+fiction
month,3,Month 3,28,genre_adjusted,Genre-adjusted,controls,0.6208178999579533,0.9346838883106632,V+B+M+literary+fiction
month,4,Month 4,27,genre_adjusted,Genre-adjusted,controls,0.7637178506871223,0.7704315525962223,V+B+M+literary+fiction
month,5,Month 5,27,genre_adjusted,Genre-adjusted,controls,0.641993600990197,0.7672617388707439,V+B+M+literary+fiction
month,6,Month 6,27,genre_adjusted,Genre-adjusted,controls,0.6173170276317971,0.9908566885311072,V+B+M+literary+fiction
month,7,Month 7,23,genre_adjusted,Genre-adjusted,controls,0.49724234929856154,0.6405511820406153,V+B+M+literary+fiction
month,8,Month 8,27,genre_adjusted,Genre-adjusted,controls,0.6955922237008884,0.0,V+B+M+literary+fiction
month,1,Month 1,34,czi_adjusted,CZI,external,0.5455882419632188,-1.709568315118551,czi_score
month,2,Month 2,31,czi_adjusted,CZI,external,0.5412173282692424,-1.630443130803146,czi_score
month,3,Month 3,28,czi_adjusted,CZI,external,0.5509629594395409,-1.251491207769845,czi_score
month,4,Month 4,27,czi_adjusted,CZI,external,0.67937260725328,-0.796252687833013,czi_score
month,5,Month 5,27,czi_adjusted,CZI,external,0.6610314606517734,-1.079783105394058,czi_score
month,6,Month 6,27,czi_adjusted,CZI,external,0.6594312292414116,-2.038994537873888,czi_score
month,7,Month 7,23,czi_adjusted,CZI,external,0.5273418587491703,-1.450801673525427,czi_score
month,8,Month 8,27,czi_adjusted,CZI,external,0.6971056381998314,0.8518892221936916,czi_score
month,1,Month 1,34,textstat_adjusted,Textstat,external,0.5507123434444308,-0.9448388450450964,textstat_complexity_z
month,2,Month 2,31,textstat_adjusted,Textstat,external,0.5457258598261352,-0.9003935856498877,textstat_complexity_z
month,3,Month 3,28,textstat_adjusted,Textstat,external,0.5516892242444397,-0.8053258466470464,textstat_complexity_z
month,4,Month 4,27,textstat_adjusted,Textstat,external,0.6754146165636146,-0.7109711709510934,textstat_complexity_z
month,5,Month 5,27,textstat_adjusted,Textstat,external,0.6587059171306455,-0.9511934191300084,textstat_complexity_z
month,6,Month 6,27,textstat_adjusted,Textstat,external,0.6649747959283622,-1.4325504974896817,textstat_complexity_z
month,7,Month 7,23,textstat_adjusted,Textstat,external,0.5284872046554515,-1.0770601064142802,textstat_complexity_z
month,8,Month 8,27,textstat_adjusted,Textstat,external,0.6844877271572458,0.8025430454467924,textstat_complexity_z
month,1,Month 1,34,unadjusted,Unadjusted,observed,0.5520526766777039,,observed
month,2,Month 2,31,unadjusted,Unadjusted,observed,0.5467514395713806,,observed
month,3,Month 3,28,unadjusted,Unadjusted,observed,0.5520415902137756,,observed
month,4,Month 4,27,unadjusted,Unadjusted,observed,0.6750988364219666,,observed
month,5,Month 5,27,unadjusted,Unadjusted,observed,0.6600912809371948,,observed
month,6,Month 6,27,unadjusted,Unadjusted,observed,0.6697688698768616,,observed
month,7,Month 7,23,unadjusted,Unadjusted,observed,0.5307638645172119,,observed
month,8,Month 8,27,unadjusted,Unadjusted,observed,0.6734539866447449,,observed
month,1,Month 1,34,bk_adjusted,BK,vbm,0.5412424206733704,0.2621386693634604,B
month,2,Month 2,31,bk_adjusted,BK,vbm,0.5421397686004639,0.5660087769483512,B
